,E007_Time[h],E007_6803_deltaKaiA3B3_rep1,E007_6803_deltaKaiA3B3_rep2,E007_6803_deltaKaiA3B3_rep3,E007_6803_deltaKaiA3B3_rep4,E007_6803_deltaKaiA3B3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3_rep1,E008_6803_deltaKaiA3B3_rep2,E008_6803_deltaKaiA3B3_rep3,E008_6803_deltaKaiA3B3_rep4,E011_Time[h],E011_6803_deltaKaiA3B3_rep1,E011_6803_deltaKaiA3B3_rep2,E011_6803_deltaKaiA3B3_rep3,E011_6803_deltaKaiA3B3_rep4,E011_6803_deltaKaiA3B3_rep5
93,7.785833333333333,-1.1886853687343049,-1.0733077836196838,-1.0656395172030373,-0.8260600430915204,-1.1597134080355749,7.7861111111111105,-1.3215249496241082,-1.1998294004587486,-1.2973337466000714,-1.3219045926195576,7.7861111111111105,-1.5032469807063498,-1.3570189357185771,-1.435964592110309,-1.373681918575045,-1.506831045189429
94,7.869166666666667,-1.2570780127023324,-1.114370291236745,-1.117839969920167,-0.877034836145149,-1.22364168371248,7.8694444444444445,-1.3805058941316368,-1.262084881960289,-1.374137191707498,-1.3909351943225716,7.8694444444444445,-1.5680102833608227,-1.447895392702602,-1.523870956751519,-1.4523790673423749,-1.5829160493006038
95,7.9525,-1.3171858748609488,-1.1546797444455152,-1.1597499914355731,-0.9327473804929436,-1.2799027159617518,7.9527777777777775,-1.4492554856437478,-1.3224093346581811,-1.4498906756174677,-1.4621450508722469,7.9527777777777775,-1.633239786677604,-1.5241119294937042,-1.6035442580332369,-1.5300093576671527,-1.6598360122390523
96,8.035833333333333,-1.3834095807467226,-1.1966356651623502,-1.2105694276240038,-0.98579599525676,-1.3452975466811343,8.036111111111111,-1.5129740607197917,-1.3832024731600416,-1.5223948313160378,-1.530934530816931,8.036111111111111,-1.7039372820886105,-1.6028703518411622,-1.67638689298481,-1.5969739819419757,-1.7423933287047175
97,8.119166666666667,-1.442149755209499,-1.2346375756774486,-1.2564981248233469,-1.031379003582767,-1.4068272155767652,8.119444444444444,-1.5778619559621396,-1.4480640135554037,-1.5832502910956463,-1.5919040026243931,8.119444444444444,-1.7677045570558243,-1.6829724599705245,-1.7484012533874302,-1.6628741304092487,-1.8135903876694208
98,8.205277777777777,-1.5020070224123971,-1.2730849986548525,-1.3067359298346275,-1.0780947326414425,-1.4672927601631698,8.202777777777778,-1.6441195080161823,-1.5117936734157185,-1.6478576865551144,-1.6466538346818165,8.202777777777778,-1.8321433950712989,-1.7546200485836123,-1.8189897257741343,-1.7283109911611874,-1.872829572376865
99,8.288611111111111,-1.5493820058318133,-1.3113774571324488,-1.3488826899220103,-1.1275415136275753,-1.520695215763265,8.288888888888888,-1.7037470535703283,-1.5697911717943556,-1.7150176485996451,-1.7129843952958044,8.286388888888888,-1.8934555756571527,-1.82061490685852,-1.891954691429803,-1.7922857501398162,-1.937713260342635
100,8.371944444444445,-1.6048753282574202,-1.3463144745219675,-1.3933382528127956,-1.169317681760265,-1.5752356155083589,8.372222222222222,-1.758544929356008,-1.6252562292265995,-1.7773308074408218,-1.7764960526923774,8.372222222222222,-1.9498428743655756,-1.8877588184496104,-1.9652985263911624,-1.8489995911369683,-2.0050438233541943
101,8.455277777777777,-1.6538876117921646,-1.3786955746089815,-1.4313024666974232,-1.213221576282923,-1.6261149903381504,8.455555555555556,-1.8151134721476696,-1.6815885677296547,-1.8377977925966105,-1.8373891750169724,8.455555555555556,-2.0067070627788244,-1.9522535614875225,-2.0310236014467824,-1.913453695794288,-2.0638236274708848
102,8.538611111111111,-1.70961947785227,-1.409920281552911,-1.4727751802294708,-1.2574515404632702,-1.6709343690007277,8.538888888888888,-1.8644530187627808,-1.7367879108026405,-1.8970192328913584,-1.8916641303344464,8.538888888888888,-2.063849908509225,-2.012500908579163,-2.084532282137079,-1.967249243603226,-2.1160550330239323
103,8.621944444444445,-1.7600715471672352,-1.440388119887017,-1.5119562425256547,-1.3026059215933388,-1.7212947780525705,8.622222222222222,-1.917963906061829,-1.7950539834265933,-1.9571957564557956,-1.946321286629072,8.622222222222222,-2.1138731751991715,-2.0731026268077137,-2.1478269287543106,-2.020987411905046,-2.173340394616441
104,8.705277777777777,-1.809444439779836,-1.4774986145184057,-1.5484455031658286,-1.3386830709894704,-1.7721972418585483,8.705555555555556,-1.9702464709483205,-1.8489865120644688,-2.013927990727032,-1.9917610118045397,8.705555555555556,-2.1613786225211262,-2.1318604777326264,-2.203109896342584,-2.074469375890817,-2.2340820611233942
105,8.788611111111111,-1.849738775046122,-1.5010512907280265,-1.5850428121929852,-1.375681343992318,-1.8146427825919225,8.788888888888888,-2.0163010503687824,-1.8965852246611383,-2.06581656244856,-2.0355836736839583,8.788888888888888,-2.2117680061776195,-2.186176217389624,-2.257383534697846,-2.1338963086014204,-2.290282375691656
