,6803_WT_n=4,6803_deltaKaiA3_n=4,6803_deltaKaiC3_n=4,6803_deltaKaiA3B3_n=4,6803_deltaKaiB3C3_n=4,6803_deltaKaiA3B3C3_n=4,6803_deltaKaiB3_n=4,6803_deltaKaiA3C3_n=4,6803_deltaKaiA1B1C1_n=4,6803_Wilde_n=1
mean_timepoint,29.4,23.65208333333333,21.832638888888887,24.027777777777775,22.68888888888889,23.12847222222222,32.59791666666666,21.414583333333333,29.56597222222222,14.391666666666666
sd_timepoint,0.07216878364870373,0.3094784479123268,0.24391020376359795,0.439745121183781,2.161323539973702,1.3920524734127544,2.886426818766169,0.295218943391235,2.458711815654342,0.0
mean_height,5.37129408099206,1.4867124952019721,1.9638404346347809,1.8149883832873974,1.959739573881377,1.9984484723112055,0.8060119560293819,2.1376751768691524,0.7289515714845602,279.1880052175732
sd_height,0.07666894075055392,0.022089968259118478,0.033306483872316175,0.014146373680257967,0.2592466157021589,0.05874530331028449,0.09345612760681597,0.09361330587373917,0.08770648444664907,0.0
difference_timepoint_to_WT,0.0,-5.747916666666669,-7.567361111111111,-5.372222222222224,-6.711111111111109,-6.271527777777777,3.1979166666666643,-7.985416666666666,0.16597222222222285,-15.008333333333333
difference_error,0.14433756729740746,0.38164723156103053,0.31607898741230167,0.5119139048324848,2.233492323622406,1.4642212570614581,2.9585956024148725,0.3673877270399387,2.5308805993030457,0.07216878364870373
ratio_height_to_WT,1.0,0.2767885118156445,0.3656177459328509,0.33790523399384886,0.3648542686978367,0.3720608929947285,0.15005917454449155,0.3979814072057531,0.13571246714347193,51.97779175889177
ratio_error,0.02854766080370465,0.029132095419741693,0.03123370315165149,0.022068025566140567,0.14656008881970223,0.043669285988628376,0.13022264097186473,0.058065940113696195,0.13459250159701658,0.014273830401852325
