,6803_WT_n=5,6803_deltaKaiA3_n=5,6803_deltaKaiB3_n=5,6803_deltaKaiC3_n=5,6803_deltaKaiA3B3_n=5,6803_deltaKaiB3C3_n=5,6803_deltaKaiA1B1C1_n=5,6803_deltaKaiA3C3_n=5,6803_Wilde_n=1
mean_timepoint,28.471166666666665,24.457833333333333,27.802222222222223,21.832777777777775,24.240555555555552,22.15,27.467777777777776,21.849999999999998,
sd_timepoint,0.18070800401766682,0.3985046276664869,1.5740884095207763,0.2645774642102005,0.6799137563319192,1.3881175635984038,2.2317542786995666,0.450209142071702,
mean_height,5.991561125158752,1.8844064375582998,1.3613603803057948,2.572545043136974,2.3794978390347366,2.336801578441276,0.4097158212233187,2.736967852294977,
sd_height,0.0836528236325388,0.06400372436948085,0.17152883882140646,0.1145546469289447,0.31300909443554703,0.2524090720661265,0.1268830143109295,0.15187288328162732,
difference_timepoint_to_WT,0.0,-4.013333333333332,-0.6689444444444419,-6.6383888888888904,-4.230611111111113,-6.321166666666667,-1.0033888888888889,-6.621166666666667,
difference_error,0.36141600803533364,0.5792126316841537,1.754796413538443,0.4452854682278673,0.860621760349586,1.5688255676160705,2.4124622827172333,0.6309171460893688,
ratio_height_to_WT,1.0,0.31451009147609604,0.22721296701612542,0.4293613950352233,0.3971415444704638,0.39001547837490524,0.06838214826898939,0.45680379372286867,
ratio_error,0.0279235484325706,0.04792669977258567,0.13995988706196463,0.05849146952115592,0.14550595521983764,0.12197653866816988,0.32364718966371797,0.06945123974080006,
