,6803_WT_n=5,6803_deltaKaiA3_n=5,6803_deltaKaiB3_n=5,6803_deltaKaiC3_n=5,6803_deltaKaiA3B3_n=5,6803_deltaKaiB3C3_n=5,6803_deltaKaiA3B3C3_n=5,6803_deltaKaiA1B1C1_n=4,6803_deltaKaiA3C3_n=5
mean_timepoint,28.838611111111106,23.95638888888889,32.25027777777778,22.049722222222222,23.873055555555556,21.781944444444445,21.31361111111111,32.28375,21.81638888888889
sd_timepoint,0.03333333333333286,0.26250573185981846,3.4073139379289583,0.21473497877875183,1.3153094270508703,0.3286926967379855,0.4247039637089856,3.420175690721344,0.20682789409984656
mean_height,5.043664377024843,1.3873440489291546,0.7549000689274976,1.5834716499132422,1.7129051135891156,1.7025081915157831,1.6457429348276384,0.47037803758648133,1.926404265055972
sd_height,0.097069124079697,0.04508504300193055,0.22972352498193851,0.06987451935085152,0.46251870932272615,0.32671573422228584,0.04549513635208923,0.0723004023692295,0.44391147530884245
difference_timepoint_to_WT,0.0,-4.882222222222218,3.411666666666676,-6.788888888888884,-4.96555555555555,-7.056666666666661,-7.524999999999995,3.4451388888888914,-7.022222222222215
difference_error,0.06666666666666572,0.29583906519315134,3.440647271262291,0.2480683121120847,1.348642760384203,0.3620260300713184,0.4580372970423185,3.453509024054677,0.24016122743317941
ratio_height_to_WT,1.0,0.275066686682971,0.1496729386606803,0.31395262086160075,0.33961520544305607,0.33755382282594676,0.3262990579477117,0.09326116934528224,0.3819453716689054
ratio_error,0.03849150808760045,0.051743131343057906,0.32355560171451453,0.063373174547148,0.2892657952319505,0.21114834567327315,0.0468898869088482,0.17295276540896565,0.24968101800224277
