,E007_Time[h],E007_6803_WT_rep1,E007_6803_WT_rep2,E007_6803_WT_rep3,E007_6803_WT_rep4,E007_6803_WT_rep5,E008_Time[h],E008_6803_WT_rep1,E008_6803_WT_rep2,E008_6803_WT_rep3,E008_6803_WT_rep4,E011_Time[h],E011_6803_WT_rep1,E011_6803_WT_rep2,E011_6803_WT_rep3,E011_6803_WT_rep4,E011_6803_WT_rep5
94,7.869166666666667,0.3005353786704792,0.3380334799171418,0.3076690609918052,0.3014656656198746,0.3404114121671571,7.8694444444444445,0.6504108641346941,0.6281518152880283,0.6298382613038559,0.6305695755363505,7.8694444444444445,0.2946433798382676,0.2905185778079902,0.1842451069596729,0.2714595145760801,0.2627492305263642
95,7.9525,0.2490588602085774,0.2962981601557657,0.2606164538838794,0.2562861476070377,0.3028254540647715,7.9527777777777775,0.6196996386261251,0.590352074932785,0.595651275845628,0.5967367391673989,7.9527777777777775,0.234872367893345,0.2240826705394993,0.1331916076339798,0.2131544029018584,0.2072486989250448
96,8.035833333333333,0.2053683142912605,0.2503400999747293,0.2091425303688976,0.2132584798674706,0.2632050154427869,8.036111111111111,0.5825135065694358,0.5546664854249268,0.5621926931968075,0.5627885437808428,8.036111111111111,0.1704214191751495,0.1661605209067454,0.0833402820184995,0.1469344577619232,0.1400763507147904
97,8.119166666666667,0.1690667265948873,0.2037622822598114,0.1650503715897718,0.1643858910400836,0.2277532271787438,8.119444444444444,0.5434558037810578,0.522898456542407,0.5182658629590977,0.5299286082847746,8.119444444444444,0.1090936203878382,0.101555257936643,0.0420950278776468,0.0870030271045168,0.0860352973637018
98,8.205277777777777,0.1201570754798434,0.1587676826962216,0.1107430511469732,0.1238716019307871,0.1800732126287416,8.202777777777778,0.5029298577491225,0.4830513896280768,0.4850741263411773,0.4809605426340217,8.202777777777778,0.0456920500558171,0.0408700024808524,-0.0287402662952597,0.0233634501138742,0.0265286420895913
99,8.288611111111111,0.0734423319905421,0.1135592697685984,0.0602236350985339,0.0773188255124926,0.1381680876274364,8.288888888888888,0.4571389876334596,0.4425286775896875,0.4328208161587027,0.4442879478301463,8.286388888888888,-0.0121802214762604,-0.0282921327842246,-0.0865617212779977,-0.0341809427897795,-0.0330405201400136
100,8.371944444444445,0.0291254598554253,0.0709400047610124,0.0164951819600451,0.0361307669251089,0.0930409604880386,8.372222222222222,0.4132865042655991,0.4013337048998908,0.3847092568343079,0.3945144159214427,8.372222222222222,-0.0681201320434948,-0.1013280433574403,-0.1421654671194431,-0.1046268299502288,-0.0972691026078737
101,8.455277777777777,-0.0195905845130362,0.0217128417569619,-0.0326392572953398,-0.0074893765244537,0.0408949320023176,8.455555555555556,0.360175710148769,0.362069847596237,0.3245427643976019,0.3594435300029416,8.455555555555556,-0.1273246276607395,-0.1648346329129049,-0.2109476431395676,-0.1613708984752657,-0.1645540268470366
102,8.538611111111111,-0.0673028520183458,-0.0271192723606243,-0.0793766392369104,-0.0505384153622857,-0.004866904559402,8.538888888888888,0.3214098994578981,0.3159404732811759,0.2741246464851725,0.3156788642164073,8.538888888888888,-0.1881906625226006,-0.2294088132999832,-0.2657043979294399,-0.2292098442366916,-0.2296922226408363
103,8.621944444444445,-0.112808400879977,-0.0745533979093876,-0.1291139279763934,-0.0906131679474777,-0.0540414634482378,8.622222222222222,0.2761923580396129,0.2667489411220571,0.2358582023405843,0.2678239837503369,8.622222222222222,-0.2511151990034361,-0.2950475045432967,-0.322631889351225,-0.2873403718703173,-0.2884806280228948
104,8.705277777777777,-0.1565042966333771,-0.1205866024075386,-0.176448095167957,-0.1339104604721195,-0.1044256664367512,8.705555555555556,0.230726363412239,0.222498601851131,0.1815467228143781,0.2186824448399633,8.705555555555556,-0.3192952076573582,-0.3583476348427241,-0.3881262845381871,-0.3623591947759622,-0.3493161892771209
105,8.788611111111111,-0.2037876121299654,-0.1674159605738596,-0.2195761200082086,-0.1744271269613029,-0.1494164428189467,8.788888888888888,0.1838151847658028,0.1803927977655456,0.1355934903640714,0.167057794767252,8.788888888888888,-0.3853276672182298,-0.404706140573399,-0.4545837598946848,-0.4274630351174557,-0.4101958609377092
106,8.871944444444445,-0.2446554275371328,-0.2122385543277017,-0.2672949892361947,-0.2201600092731185,-0.1864107294102738,8.872222222222222,0.1422620829620277,0.1366348627273498,0.1028017790541601,0.1187535718609043,8.872222222222222,-0.4540095645996687,-0.4799199662857126,-0.530000501096175,-0.4860486238226343,-0.4751166057891432
107,8.955277777777777,-0.2863048303382418,-0.2596514727889872,-0.3096016971334029,-0.2705059570986579,-0.2274054705476229,8.955555555555556,0.098670310534338,0.094628122163491,0.0723748545561155,0.069973305496355,8.955555555555556,-0.512937894895044,-0.5419860647053105,-0.5735727030892104,-0.5481127005833464,-0.5308753948661924
108,9.04138888888889,-0.3299329153326282,-0.3044518122782069,-0.3566932455237611,-0.3152618279620129,-0.26839761808933,9.038888888888888,0.0526431116878572,0.0473758930658168,0.0207159741483868,0.0259205160957722,9.038888888888888,-0.5745096613774789,-0.5973013967330958,-0.6234965700914409,-0.6184520138554461,-0.5964692074539126
109,9.12472222222222,-0.3771367846355991,-0.3536366763164233,-0.400766643773635,-0.3598244872202754,-0.308984131415173,9.125,0.0013837222994058,0.0012814839910759,-0.0281716132835997,-0.0246012848719411,9.1225,-0.6369218754998482,-0.6594629314452266,-0.6737683155916141,-0.6916633208587997,-0.6576950310876484
110,9.208055555555555,-0.4161135476784351,-0.3954031756252681,-0.4402189087918317,-0.4029908080635364,-0.359961977426373,9.208333333333332,-0.0481046300824928,-0.0428518049390857,-0.0796846672474417,-0.0767885948911473,9.208333333333332,-0.7003715568947795,-0.726667646093119,-0.7253841623495736,-0.7487433875772792,-0.7209498615530295
111,9.29138888888889,-0.4590603212083868,-0.4379484281269442,-0.4834470650295981,-0.4459576715148888,-0.4091281305455957,9.291666666666666,-0.0970187262376199,-0.0842206820381216,-0.1210199556437588,-0.1198379203994765,9.291666666666666,-0.7534557333746543,-0.7921125261034434,-0.7753403423962599,-0.8106889887587683,-0.7834307028859742
112,9.37472222222222,-0.5005742292886792,-0.4826695589442233,-0.530448144480622,-0.4895219664304245,-0.4522795727169487,9.375,-0.1415553552740553,-0.1266218640545856,-0.1563742547661938,-0.1661457767878218,9.375,-0.8143714409316053,-0.8611945650781281,-0.8500330970337113,-0.8766969079151581,-0.8411345673726864
113,9.458055555555555,-0.5482524032985081,-0.5321637004004476,-0.5740191866810279,-0.5334805894992367,-0.4944132934059836,9.458333333333332,-0.1873113146281801,-0.1654520761721324,-0.2005443493014136,-0.2321086884003452,9.458333333333332,-0.8847157237375197,-0.9165107647943564,-0.9076586768350614,-0.9357639373223492,-0.9036584755496582
114,9.54138888888889,-0.5926919819330417,-0.5766279920195297,-0.6143572387093833,-0.5742304452434168,-0.538326289599696,9.541666666666666,-0.2334834100646756,-0.216508052009516,-0.2473270323291073,-0.2827231885344722,9.541666666666666,-0.9442856341440368,-0.9686581352045682,-0.9736133416445414,-1.007486878020253,-0.9669994562036676
115,9.62472222222222,-0.6444901112034204,-0.621259580525952,-0.6564593551866938,-0.6193684460180596,-0.5814155658065243,9.625,-0.2848684556765258,-0.262586533620592,-0.2947191053219875,-0.3251858194408962,9.625,-1.0030782326825487,-1.0258336944364586,-1.03969336057748,-1.0644625398127876,-1.0301545463717816
116,9.708055555555555,-0.6888439444367565,-0.6656556198447676,-0.6993225982764045,-0.6658915120112563,-0.62347813405635,9.708333333333332,-0.3312632738850138,-0.3056842714943162,-0.3299173781457885,-0.376693132323575,9.708333333333332,-1.0636905880641987,-1.0912344687929807,-1.1038950120203026,-1.124487741267879,-1.0929207913413526
117,9.79138888888889,-0.7319506422761355,-0.7112132711015995,-0.7479440376844031,-0.7111965712441015,-0.6679110139004989,9.791666666666666,-0.3768646954397243,-0.3503980245547451,-0.3925186690592691,-0.4094416873397322,9.791666666666666,-1.1215197771798855,-1.1548574927523445,-1.1678145836305305,-1.189959309717466,-1.1474952446500204
118,9.8775,-0.7778073726806132,-0.7529297026226409,-0.787720750659014,-0.7580805595706881,-0.7093112324117383,9.875,-0.4358695594185419,-0.4021245601610332,-0.4431198047142116,-0.4320280535998584,9.875,-1.1811628851002602,-1.2246998089680114,-1.2468483723367825,-1.2404740812574933,-1.1980749680857108
119,9.960833333333332,-0.8198113109252192,-0.7944020899346533,-0.8260498219910035,-0.8007404206781105,-0.7522758241842801,9.96111111111111,-0.484674713227653,-0.4552606541074392,-0.4907176201554204,-0.4756488091677088,9.95861111111111,-1.2432170050757234,-1.2805584682687043,-1.3019926843387752,-1.2978289007479158,-1.254457031686638
120,10.044166666666666,-0.8649596396009547,-0.8312276157649712,-0.8701283440135763,-0.8425731060864616,-0.7928018313337797,10.044444444444444,-0.5388770126015455,-0.5016030906233198,-0.5323089588207222,-0.519500541060306,10.044444444444444,-1.3020792385364328,-1.3346305296583996,-1.375643835107321,-1.3546206218126982,-1.3144385137413033
121,10.1275,-0.9126495486147932,-0.8752034700414983,-0.9149534166023784,-0.889175575148837,-0.8338863034973358,10.127777777777778,-0.583673321603006,-0.5441486623731322,-0.5804906725409682,-0.566579845247936,10.127777777777778,-1.363746695092297,-1.3899130603163303,-1.4251981493843289,-1.4168461068398115,-1.370016500788494
122,10.210833333333332,-0.9570782351896796,-0.9107268498927076,-0.9489221471754952,-0.9301447950513296,-0.8759262978334907,10.21111111111111,-0.6310605126231232,-0.5966941704564346,-0.6222596215400318,-0.6090833266541531,10.21111111111111,-1.420216492532977,-1.4370031355969854,-1.4696519611828047,-1.4785022269812391,-1.428788087617285
123,10.294166666666666,-0.994042903864532,-0.955994959647642,-0.9914316506934508,-0.970277740813034,-0.9167188790222284,10.294444444444444,-0.6778354663812862,-0.640236424407886,-0.6668126744348096,-0.6534075991557771,10.294444444444444,-1.4756857568278858,-1.483897839030111,-1.5174016137868518,-1.5317858621529707,-1.474350377267037
124,10.3775,-1.03434076649424,-0.9988050108359148,-1.0340790496592112,-1.0069713952860453,-0.9518611192649784,10.377777777777778,-0.7247950719251864,-0.6839722421972443,-0.7117467082352208,-0.6859492855828925,10.377777777777778,-1.5271516221261927,-1.5353942623207093,-1.561843459751671,-1.5844939010350068,-1.5307004810274
125,10.460833333333332,-1.0779690422496655,-1.0347542221877115,-1.0736614741181802,-1.045822749155458,-0.997950098284612,10.46111111111111,-0.7737362266308131,-0.7318984502293695,-0.7518586083442084,-0.7313050177188505,10.46111111111111,-1.5786112307568168,-1.5872895053490377,-1.6237738609035586,-1.638623241071356,-1.58843551843831
126,10.544166666666666,-1.1179249576176424,-1.081439819633785,-1.1223760616582037,-1.085628800939368,-1.0339829033254446,10.544444444444444,-0.8212558362024587,-0.7724118833442208,-0.7985452685577381,-0.7752714363002676,10.544444444444444,-1.6336617332284291,-1.6337806761706095,-1.674789188339909,-1.6879707884700363,-1.64315261728999
127,10.6275,-1.1508057464009775,-1.1224590363054592,-1.1670199574095648,-1.1243865569888705,-1.0735566291532346,10.627777777777778,-0.8703508146727161,-0.8235093848168589,-0.8392035910647984,-0.8028451910170262,10.627777777777778,-1.6867002882294568,-1.6878648910161955,-1.7438858224292129,-1.7333334582030748,-1.697048913622949
128,10.71361111111111,-1.1866086497184487,-1.1616091125346282,-1.2095903140449895,-1.1628930314880606,-1.1132683780551842,10.71111111111111,-0.9230180844024792,-0.8647878063574433,-0.8874304864474021,-0.8480229405122757,10.71111111111111,-1.7361240626280772,-1.7325392742918235,-1.7758601528110567,-1.792308174006506,-1.747121551727984
129,10.796944444444444,-1.226930916004806,-1.2020872958537565,-1.2448842917796408,-1.207545246454034,-1.1541152598399382,10.797222222222222,-0.9718545760809414,-0.914044008111236,-0.9330228736805828,-0.8988013523824308,10.79472222222222,-1.788730231472221,-1.7786009585787743,-1.8159085783961264,-1.8388918683803757,-1.7963676841461798
130,10.880277777777778,-1.2597698010107734,-1.2312908409958785,-1.2852990583711232,-1.2499402317368864,-1.189294391837587,10.880555555555556,-1.0210572287255983,-0.9568748586585982,-0.9787776801323992,-0.9393771031771708,10.880555555555556,-1.846315977989572,-1.8400470846335883,-1.8398275073662036,-1.8908814825887372,-1.8503844716689064
131,10.96361111111111,-1.2965225678030452,-1.2676170098945971,-1.313031789119481,-1.2850750250197145,-1.2272028988996606,10.963888888888889,-1.0688229896822454,-1.0010772350149906,-1.021891841563931,-0.980746878399443,10.963888888888889,-1.889078493587567,-1.8810748013880605,-1.886213357174164,-1.9420739666596547,-1.8999690833378216
