,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep3,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep3,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep3,6803_WT_rep2,6803_deltaKaiA3_rep4,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep4,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep4,6803_WT_rep3,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep3,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep1,6803_WT_rep4,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep4,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep3,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep3,6803_Wilde_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep4,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep2
39,3.272222222222222,1.1816850847228362,4.383297233333155,3.935265895999451,5.581725814268387,3.334727329474479,4.092640916818016,0.7922338360927039,4.235144332563912,3.9065114441859423,5.198583530759817,3.693130391023269,4.314842791977674,0.49387239360364404,1.9821541632622024,3.547051308898091,3.562706771824,3.1577150339040907,0.39516616380570274,0.5777184402288438,0.10436136677595562,3.83739350371823,3.35883494308946,2.8045692511955456,-0.10845852956018416,3.8151264977599313,1.2339594206574194,5.381557083824222,3.341667197349063,4.019076616072884,0.6085628515652884,52.66681111512443,3.6016157392645685,1.163327937532454,4.774548973839735,2.220931762389689,3.9316503144772126,0.6464268516844902,-498.46591255077544
40,3.355555555555556,1.259043016359875,4.348653866456448,3.761248628247146,5.196977769012668,3.4067505635801787,4.057649936713136,0.9700062059302024,4.17374261752655,3.6838359484413177,5.076742424953335,3.4166041364881696,4.390793700242432,1.147195087874357,2.1693610286392238,3.6235172674708167,3.2417244130800813,3.2249239426454404,0.5206533410554977,0.47477227370911484,-0.12669124561343517,3.7303121666253083,3.392512317514656,2.6515243211480315,-0.49377465444144103,3.7952132923205655,1.1682928593608668,5.102044052975887,3.2142537915317697,3.7435196481263278,0.8701532496951286,70.05177337976593,3.552409457095232,1.138418630409557,4.572201360005899,3.1444009126898105,3.9095325927952045,0.8602613527734297,-491.99428758013295
41,3.4388888888888887,1.2655325111236162,4.313937859244294,3.9271596505284814,4.842314488694277,3.138669068734888,4.162718904126012,0.8568950149865611,4.082216026303534,4.111054442976287,4.754941890725218,3.389964139082233,4.216781792988548,0.6796518121869811,1.5964478541546834,3.28976350674273,3.430839469158261,2.9520290703079093,0.6359361298623634,0.8109009092440058,-0.12801807781570199,3.663125903510346,3.476253176042247,2.8180100541284223,-0.37939546789872064,3.4750982557782466,1.2822941164632258,4.75258032281076,3.4168629093470266,3.6976932167611425,0.41160037374071823,45.82431898496745,3.38287426438192,1.423188050265974,4.429767500337768,2.247705559694715,3.6672940563506584,0.4140146796309898,-462.0705165744545
42,3.522222222222222,0.8811573587229086,4.289149453175429,3.8229991006067943,4.767735303218578,3.3104831845044806,3.9678471703539513,0.8229041327526669,3.830565118571307,3.8181673562430563,4.85318155521598,3.16321083334598,4.0228066097321635,0.8412463735630157,1.6434149310452364,3.3057911786362126,3.8000511121608755,3.279030776621604,0.5810146772945808,1.0061084536946592,0.14038145344731254,3.795835084641053,3.450056878252281,2.8440283713967465,-0.015320693501283362,3.5947822677699977,1.1759642307054665,4.6931655590709935,3.309494169242607,3.751598201885547,0.802904177074076,57.85441072769399,3.1130116364782143,1.2676375358471252,4.547247759510277,2.770845821834207,3.7449350576258835,0.7176866185169308,-457.04398664298554
43,3.605555555555556,0.9059213405382488,3.85428888847274,3.5087671152460453,4.583239543184582,3.17219324903434,4.023034087413367,1.0180374202843563,3.6087904521444254,3.485175115151084,4.301461045646744,3.2563446521319097,4.078867690349887,1.241982570630873,1.7702625493860404,3.3716014317075746,3.2393585154227966,2.9359294199512442,0.6558891305448122,1.1203990049688823,0.2085079301265663,3.498440078888476,3.323922784518897,2.5195811902033545,-0.09155005434638792,3.73426620548008,1.3793042386685161,4.493799427455772,3.4421471898987144,3.935235481435943,0.6940646134364029,57.19201149095582,3.1328230452835815,1.2117684226960923,4.124642500716483,1.9638218174147322,3.5424559477992146,0.9012769562299445,-445.50408600181487
44,3.6888888888888887,1.3398282296219075,3.7593564041032606,3.62446383021073,4.618826539884842,3.2137995990490857,4.028279008039834,1.0522987302023932,3.6868925829755237,3.6620781450671602,4.419779989319108,2.7993660266043694,4.124964575078713,1.0518641936259514,1.7669909980907557,3.207195411147154,3.3787608535113267,3.062725357296139,0.5605596369303834,1.25377665202121,0.4063619328457631,3.40094125372701,2.957850256010159,2.9046704237892134,-0.008083273059159641,3.1535509436399964,1.1723151747731098,4.364481593621238,3.0148215902282183,3.4186059313767645,0.705081636937983,54.317084243808125,3.1423099592435424,1.3755820431536099,3.9519520856675068,2.386633664619388,3.579857076745088,0.6747854801076107,-430.660203973873
45,3.772222222222222,1.1728817906977222,3.464352237778189,3.2900893802658837,4.2844956253055875,3.155302569852811,3.9135812856878713,0.9656919066923262,3.3748720651554076,3.318876869815445,4.508138013615349,2.892275386239655,3.7710968045159414,1.1208950243906401,1.773600564911697,3.0025742587793047,3.308257302226369,2.9794189442902246,0.7150263438929068,1.9862454748529015,0.2639440409014722,3.5033389752343544,3.201838654688243,2.4492979813857407,-0.11492007179265624,3.192637354528526,0.8949980712799348,4.0052117231805395,2.8675169893765777,3.361710425700527,0.8759552020581153,50.939592041351176,2.781473843349554,0.9790797263581046,3.809176874592516,1.2892814815080622,3.477138793034089,0.9982119780262713,-409.73173098893386
46,3.855555555555555,1.2450857801614528,3.499276625952848,3.385643899177226,4.30024613212668,2.7167024953289776,3.6189402745313144,1.2282207855047442,3.622729450912878,3.2055717116773694,4.0165347459982685,2.9650731588258257,3.6072639196194483,1.1190788363743338,1.5500915364397594,2.827739113062364,2.9278470386002513,2.7760105352021833,0.6992893989986493,1.5478095445120144,0.011254832263014457,3.335633608091539,3.1058873433093033,2.283465768214825,0.10793982777221049,3.3115263079716586,1.3173539582895504,3.9759894817037518,2.9602330067217744,3.2445498364278693,0.556685263645356,45.149498024730605,2.5303161591391277,1.4022627982456972,3.666317226238824,2.2617653860172093,3.4643014439327997,0.7615562384012924,-402.5580585836139
47,3.9388888888888887,1.32644394608031,3.514129803826637,3.1111275197109913,3.7360773937215503,2.727999707940544,3.464355329462893,1.2698891939550219,3.380465290614914,3.2721630913917368,4.014969814011278,2.8377597704629896,3.483465461707318,0.7964193946333383,1.6464641981042627,2.862691109088786,3.147529240897828,2.7725004829352224,0.7433489499382,0.9884729230933058,0.28829488357241334,3.247825515582915,2.9799956854235012,2.517175685488809,0.150496704426527,3.00021867134262,1.029383863742402,3.836814534717976,2.922969261874409,3.127125033607432,0.9572717769172171,35.68676542113681,2.8288383646957502,1.0151325815502152,3.833373497871811,2.034085495960063,3.5513453754039856,0.6448180501868228,-395.6485794013721
48,4.022222222222222,1.1969600281933377,3.42891200534321,3.046540373633989,4.111988744157279,2.509194538729677,3.6698258060945532,1.0307009509235012,3.3180801327665885,2.998651428154706,3.9734428452783965,2.440335645563019,3.18970097245819,1.1329204558310182,1.6027188341732819,2.857431378584863,2.81730308861643,2.8188891390272284,0.7172051445267351,1.098239663738249,0.07506477014471477,3.399915059596166,3.0441630453750697,2.340429630410626,0.08275083743350524,2.848715309561894,1.001088813418767,3.977686547707296,2.965725374677613,2.969436885316047,0.8777146974604121,54.701357543805415,2.7670419146488516,1.4076903958031257,3.1203460452748923,1.5962419290264402,3.048270932106493,0.697997202875863,-384.1726871925103
