,E007_Time[h],E007_6803_deltaKaiC3_rep1,E007_6803_deltaKaiC3_rep2,E007_6803_deltaKaiC3_rep3,E007_6803_deltaKaiC3_rep4,E007_6803_deltaKaiC3_rep5,E008_Time[h],E008_6803_deltaKaiC3_rep1,E008_6803_deltaKaiC3_rep2,E008_6803_deltaKaiC3_rep3,E008_6803_deltaKaiC3_rep4,E011_Time[h],E011_6803_deltaKaiC3_rep1,E011_6803_deltaKaiC3_rep2,E011_6803_deltaKaiC3_rep3,E011_6803_deltaKaiC3_rep4,E011_6803_deltaKaiC3_rep5
93,7.785833333333333,-0.7488263395199839,-0.7418785115996513,-0.756857491854488,-0.661472245530442,-0.7547598881180992,7.7861111111111105,-1.0118061771366418,-1.0331634630774085,-1.0851075964169952,-1.0970145006053555,7.7861111111111105,-1.3669685141638066,-1.321241291168937,-1.1969604297671,-1.2451925902216334,-1.3868491964527674
94,7.869166666666667,-0.8144274489122256,-0.8086901813166678,-0.8312578849490598,-0.7275382069242565,-0.8160049516360479,7.8694444444444445,-1.085681669924281,-1.105309783194426,-1.147758494765261,-1.170992137619503,7.8694444444444445,-1.4542658937369568,-1.4154536253347945,-1.2950190879371912,-1.3311931368536347,-1.4734324588613186
95,7.9525,-0.8714955304633885,-0.8723375206041168,-0.8949122101573744,-0.7840453139929091,-0.8739277755141959,7.9527777777777775,-1.1608230099640957,-1.1785415179558725,-1.208572562165889,-1.2416569982136367,7.9527777777777775,-1.5478670076565062,-1.511828965049149,-1.385992099659448,-1.4233031534120617,-1.540114417235298
96,8.035833333333333,-0.9268305061233412,-0.9366204991620508,-0.9566206718352304,-0.8465937039871247,-0.9261281376650587,8.036111111111111,-1.2270301129616987,-1.2530583214423037,-1.2679488267770176,-1.3062087868420345,8.036111111111111,-1.6371736321016692,-1.6051699078533344,-1.4714809807392943,-1.501524454061014,-1.6222968667755593
97,8.119166666666667,-0.9810322986130596,-0.9949390875897154,-1.0057834741010578,-0.9037835143750292,-0.985205817108906,8.119444444444444,-1.3007028956221245,-1.325459849276939,-1.3264863201227777,-1.3716472093556495,8.119444444444444,-1.7195875391891091,-1.6960790455119594,-1.559087243723301,-1.5782588488304057,-1.7057815985062783
98,8.205277777777777,-1.0485008314246245,-1.0556932573855478,-1.06160082083592,-0.9650148828421484,-1.03736059397376,8.202777777777778,-1.3676412756498242,-1.393345758625668,-1.391984077093286,-1.4409719730021069,8.202777777777778,-1.80851049697294,-1.786158964012906,-1.6408123978991895,-1.6547081436159636,-1.7941703992749471
99,8.288611111111111,-1.1072360288212235,-1.1130829809471772,-1.1064729156835127,-1.0180879472914066,-1.088992249495398,8.288888888888888,-1.4362451717486724,-1.4549157081970447,-1.4456411359446533,-1.508382786425705,8.286388888888888,-1.888344269444724,-1.869812243567332,-1.726057949295826,-1.7318741401792268,-1.8674650517523763
100,8.371944444444445,-1.1664378158371516,-1.1759082315714244,-1.1561999620501608,-1.0702028458431292,-1.1369005660173472,8.372222222222222,-1.5097145036219597,-1.5213693582422914,-1.5026565382989787,-1.5690793596674144,8.372222222222222,-1.960690616533472,-1.9544414586096688,-1.815425400683228,-1.811758636147546,-1.9442673344326948
101,8.455277777777777,-1.2297061182778075,-1.235568983454304,-1.2013821631048256,-1.118159716835042,-1.1878853269908898,8.455555555555556,-1.5724491919723995,-1.5765063705552975,-1.5616293291443517,-1.6366614041648786,8.455555555555556,-2.0409512941056462,-2.031449177797623,-1.89011625157256,-1.8855634250140856,-2.02057902163335
102,8.538611111111111,-1.2798408627196978,-1.2852652116910213,-1.245019721779097,-1.1713586988222708,-1.2371463169750618,8.538888888888888,-1.6368491585021236,-1.6385264084726203,-1.6121585568348502,-1.6941286327524148,8.538888888888888,-2.121128053965155,-2.109037964012174,-1.970131998216132,-1.9528902961378225,-2.095001883495108
