,E007_Time[h],E007_6803_deltaKaiC3_rep1,E007_6803_deltaKaiC3_rep2,E007_6803_deltaKaiC3_rep3,E007_6803_deltaKaiC3_rep4,E007_6803_deltaKaiC3_rep5,E008_Time[h],E008_6803_deltaKaiC3_rep1,E008_6803_deltaKaiC3_rep2,E008_6803_deltaKaiC3_rep3,E008_6803_deltaKaiC3_rep4,E011_Time[h],E011_6803_deltaKaiC3_rep1,E011_6803_deltaKaiC3_rep2,E011_6803_deltaKaiC3_rep3,E011_6803_deltaKaiC3_rep4,E011_6803_deltaKaiC3_rep5
252,21.080277777777777,1.535898086803585,1.3542858788807322,1.5631890029246225,1.4776125869867118,1.486718866219496,21.08055555555556,1.7964726833740392,1.8721221933709395,1.9421882058116005,1.863998959634524,21.08055555555556,2.5775052351072194,2.264465628643321,2.2916368049397216,2.426099813053201,2.582478208870593
253,21.16361111111111,1.5439218982971703,1.3617922529645752,1.5670025264804242,1.488737547069039,1.485371354824661,21.163888888888888,1.8075293217075956,1.88412595286418,1.9427880699713984,1.8757470076687135,21.163888888888888,2.573674061672249,2.2851050781502,2.311898135690004,2.43342347804722,2.58779834922281
254,21.246944444444445,1.5496814617388477,1.374056480415354,1.5819326069286253,1.4871968078494673,1.4945674804925104,21.24722222222222,1.8221209618848664,1.895079921463755,1.950737007735104,1.8852372802836184,21.24722222222222,2.58730777109635,2.296841074487049,2.3266450342647724,2.4470011505488523,2.5895868199705703
255,21.330277777777777,1.5565767325728774,1.3880784485614446,1.5963790776549218,1.4945901975106677,1.498307289177781,21.33055555555556,1.829247529292498,1.9091841998050425,1.9556354557521771,1.9002698509539613,21.33055555555556,2.6000052331458834,2.318871938611907,2.3346765030160594,2.4552316737297684,2.604642490005383
256,21.41361111111111,1.5564076654724142,1.3910580438320284,1.6065417722823787,1.5051175440179092,1.5117908257274566,21.413888888888888,1.8419089483177145,1.916438886980759,1.9646838473060897,1.9038447917577903,21.413888888888888,2.607165321649764,2.333795997259542,2.3519915475547477,2.462913894895829,2.615564232395444
257,21.496944444444445,1.564374214339506,1.3997951517570937,1.6064205246714276,1.5091786751190623,1.5148181338807674,21.49722222222222,1.847905142348321,1.9242440805409493,1.959482612314324,1.9153621733764827,21.49722222222222,2.605786914499456,2.349011582941442,2.365589176750575,2.47104666548708,2.6083509243856278
258,21.58305555555556,1.5810763323050936,1.4140896569674395,1.6144151689198694,1.5191734183445984,1.516789256269191,21.58055555555556,1.8554360337727056,1.929799876492993,1.9518321773283696,1.9308220650947407,21.58055555555556,2.6082688936489737,2.359717033945829,2.3780684027321284,2.478828841077755,2.633401447397487
259,21.66638888888889,1.590313971729015,1.4131414431946707,1.6337255393628718,1.5301016010075863,1.5167042344164516,21.666666666666664,1.8549015439798329,1.9311063693016024,1.9527329655337289,1.932824534800596,21.664166666666667,2.6172101451148846,2.366910694337643,2.391628240886848,2.484259281376276,2.626514687029262
260,21.74972222222222,1.5902870841999983,1.4215503932712,1.6371514705729702,1.5379630502036972,1.524163108738521,21.75,1.8537015933592496,1.932563651888824,1.947185396749912,1.937369648985404,21.75,2.6278095589763044,2.3755909139585527,2.400867709861027,2.4899368502252504,2.631089533055872
261,21.83305555555556,1.5877956205356676,1.4203163891302484,1.631692797360069,1.5415575928112006,1.5221659185436156,21.83333333333333,1.8554361013010832,1.9401718156340355,1.9391898874304427,1.9352574727438503,21.83333333333333,2.630066029374901,2.376356048426952,2.407785831559808,2.492660415601474,2.624924879428917
262,21.91638888888889,1.5874395307825409,1.423839311805843,1.6321493547714407,1.5490850554909663,1.5243127020322,21.916666666666664,1.8655049861960395,1.937530950373948,1.9343468506628505,1.9344880697739455,21.916666666666664,2.6271784545148917,2.3786044591379607,2.411581631147187,2.4972288496159307,2.61441962427668
263,21.99972222222222,1.5812187642160291,1.425119041432821,1.6431209780917246,1.546945264686466,1.5248034962969867,22.0,1.869108165435406,1.9404411444026048,1.929856696168677,1.9374615023770287,22.0,2.620945736663046,2.378134513263424,2.410254137046012,2.496041028513789,2.631772669904125
264,22.08305555555556,1.5755332693404376,1.4295554572468256,1.6458075028429282,1.5465380466237688,1.5230383373229344,22.08333333333333,1.8642455554110504,1.9397024844713835,1.9303198303034748,1.9327778314577648,22.08333333333333,2.6251667821486846,2.3811445837519134,2.405802380937982,2.4974958326744083,2.624182922792896
265,22.16638888888889,1.5711829938889657,1.430748437584308,1.6566087647844268,1.5428632273115446,1.5162172599872477,22.166666666666664,1.86811707151542,1.929715055788995,1.9173366560568053,1.9276371165241464,22.166666666666664,2.6192405013636773,2.381233049328725,2.407825397763649,2.4917921466113304,2.6378492936013203
266,22.24972222222222,1.571167884823707,1.4316978598825283,1.6529245999129636,1.5429206325410636,1.5069402980593796,22.25,1.8627226281415417,1.920278942021481,1.9059075730522403,1.9236394156874936,22.25,2.614765808762446,2.383798294495881,2.4069222257224165,2.497928858972289,2.631770697164408
267,22.33305555555556,1.564887888335648,1.424203600679553,1.6527548444626503,1.5467100878861968,1.4966074842010295,22.33333333333333,1.858462138683025,1.912394225292218,1.8942329775473616,1.9173847856624533,22.33333333333333,2.617141622861963,2.3810387095321293,2.41109190627254,2.496704862539203,2.645546052493848
268,22.419166666666666,1.5619429498446693,1.4250655356142563,1.6478993349049664,1.538831418703413,1.4824188499661428,22.416666666666664,1.8503355155340575,1.906260986181914,1.882913262433762,1.9118732817669983,22.416666666666664,2.629166866241752,2.376552690492943,2.4055334841311264,2.492519054228178,2.6429742827780114
269,22.5025,1.5459330139995462,1.4214835394263212,1.6527579079487582,1.5348844501317829,1.4725744258009124,22.502777777777776,1.851742670089409,1.8912793037286115,1.870748817237042,1.90550495792243,22.50027777777777,2.6028404655438853,2.3733386392105214,2.401446007274136,2.4855703350895086,2.629254315381953
270,22.585833333333333,1.534058024677948,1.4178574859562372,1.637730400540241,1.5326690070929756,1.477274241043779,22.58611111111111,1.850283512744427,1.8778492554276849,1.8575400281168155,1.903479866653376,22.58611111111111,2.5873613514729894,2.368594963293789,2.391428526936377,2.4820576103076744,2.4767850818474058
271,22.669166666666666,1.5317179249864372,1.4157872481453018,1.626016649862998,1.5241849142912625,1.471118323925427,22.669444444444444,1.836357952895041,1.8711709172318405,1.8426872778667016,1.892998059087791,22.669444444444444,2.5745284587962387,2.357520076128397,2.389480097611516,2.476779789201344,2.465565517892788
272,22.7525,1.5181126572604688,1.4006726980356217,1.6178164933379795,1.5152319962135126,1.4643067015687918,22.752777777777776,1.82776589893776,1.8618443635511197,1.8313909459143347,1.8846595849569563,22.752777777777776,2.5663407263433595,2.347112396876719,2.3753997770520665,2.467335785223373,2.452594563413196
273,22.835833333333333,1.504442163064395,1.3921137067701084,1.618929768623505,1.5076100771291956,1.460039399989054,22.83611111111111,1.820907258269674,1.8552696672528957,1.819251408321356,1.8716644925954815,22.83611111111111,2.555397097006629,2.3407703504778588,2.369986626269396,2.460924515960804,2.4352711624804084
274,22.919166666666666,1.4939063831914592,1.3855101445924838,1.6149563136152596,1.4999189810903817,1.4497164440936396,22.919444444444444,1.8077819372884525,1.8504468996618737,1.8064690377834196,1.861612828941304,22.919444444444444,2.5334965177408764,2.3272923676476425,2.3606397095337224,2.4565449031348665,2.426394263342888
275,23.0025,1.4801052576638,1.3708618808472772,1.604695966446298,1.4905585319317398,1.4489378576822238,23.002777777777776,1.7937898413923457,1.840176130560095,1.7952442036301863,1.8431046395356847,23.002777777777776,2.5148379395634786,2.314676884878623,2.3433580943741177,2.440995872600978,2.417962818425776
276,23.085833333333333,1.46903872573245,1.3637687839798236,1.6005485654870435,1.479528553270541,1.434303663446727,23.08611111111111,1.786730874980183,1.8290574281869303,1.781577271825329,1.8323399685232151,23.08611111111111,2.500020317554366,2.3009223444400795,2.333140851578504,2.4276763543487427,2.399775784330898
277,23.169166666666666,1.4517067258773348,1.3518307215362677,1.5847139493452858,1.4722288685066534,1.4248138829713175,23.169444444444444,1.783204941451377,1.8190908592390849,1.7630686049665307,1.811318858651812,23.169444444444444,2.502242610856019,2.2884271943780146,2.315187055193656,2.409985282501952,2.361432121836758
278,23.255277777777778,1.4389091958072735,1.3478475601635609,1.5719919568661822,1.464859300822549,1.4134685367324091,23.252777777777776,1.7734119432059172,1.797476488870597,1.7407185622854833,1.7988413512727193,23.252777777777776,2.475503782673468,2.2743898885151586,2.308495782525201,2.3981215953185853,2.3151307958985443
279,23.33861111111111,1.4296460724599815,1.339219165609464,1.56678242713226,1.453619673183296,1.3982676440986652,23.33888888888889,1.761551781644374,1.777614380692837,1.723527499647889,1.782507486340508,23.336388888888887,2.453602800274296,2.2650088864509668,2.299466114137616,2.385284235190809,2.2964707756481246
280,23.42194444444444,1.4203172920020657,1.3275454027225426,1.5626851994634126,1.4451098083365648,1.3780112233309922,23.42222222222222,1.7506243571678997,1.7643045967745097,1.6924957695534613,1.766317302413077,23.42222222222222,2.4393386349886352,2.25128265356162,2.2880971338542317,2.369672148644975,2.2796510343940506
281,23.505277777777778,1.4017227898290276,1.3164261354521722,1.5465001134169016,1.4309295288126247,1.363299291582547,23.50555555555556,1.7284295691782254,1.7433471976416506,1.672423721135923,1.7544708366516524,23.50555555555556,2.4167102622091687,2.239609661000025,2.2673879287572305,2.3522842863416247,2.261070549621553
282,23.58861111111111,1.384662500565263,1.3002612268485354,1.531227008787357,1.423678656924345,1.345931864898732,23.58888888888889,1.714967316077663,1.7303422422776302,1.6563117001630063,1.7351681248207853,23.58888888888889,2.396516661391132,2.2253883856958145,2.256137589187648,2.337519603075485,2.2365283029925456
283,23.67194444444444,1.3631363580640603,1.2830505390626223,1.515265725606776,1.4137570147671958,1.3309089582171951,23.67222222222222,1.6954374952691038,1.7110897881231506,1.6327600490364549,1.7168092012883562,23.67222222222222,2.3809568160523087,2.2080173103553453,2.2413452087453694,2.316577057775473,2.2228232803456214
284,23.755277777777778,1.3463442954076044,1.269593933346232,1.5050161041445242,1.3999644242192464,1.3208305853678333,23.75555555555556,1.67864000315602,1.6959898910762468,1.6031691067920213,1.6975940990255711,23.75555555555556,2.364629713773035,2.191694923461701,2.2276098842891323,2.294855613504689,2.19955447169606
285,23.83861111111111,1.3292862449069711,1.2584912700519693,1.498077984907336,1.3877007069411669,1.304296759072789,23.83888888888889,1.657574735142466,1.6794426054922882,1.5761392090994684,1.6761228496069631,23.83888888888889,2.3437343461961984,2.1836197192746907,2.217330715936528,2.273354237460424,2.166720871235817
286,23.92194444444444,1.3109621381021328,1.2377424086332474,1.486651208639311,1.374565684376225,1.2831074909464522,23.92222222222222,1.6408415856330725,1.654647984183975,1.55447068826257,1.6569954832103944,23.92222222222222,2.315869709027236,2.1623901978308493,2.2013068070639976,2.254271900974154,2.141921477333533
287,24.005277777777778,1.2999719057619536,1.2225472076442878,1.4687356163219198,1.3589591777502923,1.27086279149546,24.00555555555556,1.6216404480330535,1.6376060784213422,1.5341638732191083,1.6340120286170507,24.00555555555556,2.294834802034137,2.145804864943437,2.181337264306836,2.2288075795115443,2.143955292534529
288,24.091388888888886,1.2799154778841932,1.21110552474012,1.450131049173998,1.339681008071838,1.2579626701186957,24.08888888888889,1.596371214748202,1.6129169379317567,1.5124190895408778,1.6109725132114487,24.08888888888889,2.27122862904744,2.131262232202439,2.162821197559188,2.2035602526724447,2.113221323560808
289,24.174722222222226,1.259792783695503,1.2016172166765815,1.438037348651751,1.3249309961319304,1.2394071351072884,24.175,1.575433777184891,1.5969806108999194,1.4906366594336806,1.5886769629814288,24.1725,2.2426501979602333,2.116360816974568,2.151357719974051,2.178328904190894,2.081718581311054
290,24.25805555555556,1.2420037516514306,1.1916821393103152,1.418854356448752,1.2993089625042396,1.214796193644616,24.258333333333333,1.551028025750074,1.577397143967862,1.4606169017373305,1.5649254025181607,24.258333333333333,2.23249852072816,2.10369914240326,2.131945947963275,2.152512521935119,2.053246080860633
291,24.341388888888886,1.2189483094364164,1.174300147598773,1.400781914495942,1.2750147275450343,1.1923298518063044,24.341666666666665,1.5261538498512854,1.556366582234952,1.43356013192565,1.550717855016139,24.341666666666665,2.1951726133694103,2.0810757374086783,2.107385001197563,2.126310097907532,2.0300028414615925
292,24.424722222222226,1.2028263839637954,1.1546710956002153,1.3838198649616291,1.265648111393185,1.176408114560223,24.425,1.5054111378966404,1.5326889692578876,1.402266662106474,1.5256543422731874,24.425,2.163271495964728,2.0590891366877115,2.088274002606465,2.0959206282447336,1.99778788654266
293,24.50805555555556,1.1858379013757951,1.1333948364737088,1.3737680502514904,1.2526089339701605,1.1532309857664902,24.508333333333333,1.4777997772948317,1.5169643470506993,1.3753368010216462,1.4997348846904563,24.508333333333333,2.1369941926574048,2.039937880713974,2.0604120783783912,2.0775431132175117,1.960400243709248
294,24.591388888888886,1.1671827870435387,1.11587122247913,1.35002631300857,1.231897014980029,1.13479846817747,24.591666666666665,1.4543196544551344,1.499592756084753,1.35037085404702,1.4799595012724227,24.591666666666665,2.112539731653285,2.022020515737804,2.041198357960595,2.04917655723084,1.9364389447434465
295,24.674722222222226,1.147860965567042,1.0971001049771605,1.3357944961132795,1.2169121739094615,1.1155105634377744,24.675,1.4349706547874044,1.4731742352887458,1.3235691231924591,1.4613282096268905,24.675,2.0889071452207637,2.006535593786268,2.0184319740591885,2.021219968823882,1.90490302560403
296,24.75805555555556,1.1322723607752154,1.081481334429292,1.3150724426834004,1.198854230027727,1.0941672720842617,24.758333333333333,1.4153526627020765,1.4553088220487096,1.3005319071018364,1.4380410259649907,24.758333333333333,2.066095469690786,1.985281672663156,1.993912062639131,1.9992723606699867,1.8765915264264543
297,24.841388888888886,1.110816895725862,1.065814760397823,1.29305999607408,1.1861230023866942,1.0679685935460377,24.841666666666665,1.3912655616101646,1.4281965522080071,1.275859501053036,1.4184979651011815,24.841666666666665,2.0371037454568484,1.9608573159489848,1.9702377629242367,1.9757327495766892,1.8581034915228551
298,24.9275,1.0908944927056798,1.0429002315458589,1.269756999877834,1.1637183098208317,1.050114526144455,24.925,1.3675092339232666,1.401437460067334,1.2419521969579523,1.389499040453249,24.925,2.0133310169749974,1.9350610930009968,1.945808217397171,1.944800156485716,1.8164379693820507
299,25.01083333333333,1.073905073230261,1.0221375956373135,1.2497632979245463,1.1430399709472092,1.0350050670931128,25.01111111111111,1.3452835610535565,1.3788315783847205,1.2152102833624885,1.3626442640423038,25.00861111111111,1.979776332763832,1.9162915789531605,1.9260225717994492,1.920073606472976,1.7911940126695414
300,25.094166666666663,1.0528485580440905,1.003526699536908,1.229678734281469,1.124087804165496,1.012840212497856,25.094444444444445,1.3161884234137913,1.352378938375528,1.1846340454465587,1.3349336464927868,25.094444444444445,1.9510387454045004,1.8879473547161671,1.9024799751314416,1.8961521287485688,1.7623706782275077
301,25.1775,1.0279248671205488,0.9792673892101726,1.2203031532532214,1.1034616276579614,0.995619957356778,25.177777777777777,1.295823700417307,1.3248795697124518,1.1556237650240884,1.3081671970324638,25.177777777777777,1.915717311540703,1.8622270069774367,1.8717795796523693,1.8652347566567795,1.7373670270748132
302,25.26083333333333,1.0045339196619096,0.962759509723444,1.2026363993817917,1.0869612593894746,0.9695442955602188,25.26111111111111,1.2729892704780206,1.2985335005255212,1.1259797205430109,1.2839449234924292,25.26111111111111,1.882011091878689,1.833729128201116,1.852320540880304,1.841320527676081,1.7113821244070018
303,25.344166666666663,0.982475634099339,0.9454029052438666,1.1806783174465352,1.0639865171075045,0.9496132198907652,25.344444444444445,1.2470850110104288,1.2677407574020958,1.101902187085269,1.2506668323071022,25.344444444444445,1.8505191511872607,1.8114523166280727,1.8243020175921707,1.8204084834191336,1.6958150395963
304,25.4275,0.9617499280928992,0.9197974190393934,1.151628752464175,1.0481372183421187,0.9232267220232504,25.427777777777777,1.2143107984296084,1.2413013653868694,1.0723914363668188,1.227732928514231,25.427777777777777,1.8136405582977688,1.793395176275904,1.8001231718237471,1.790897669632784,1.691264846191615
305,25.51083333333333,0.9377567185315452,0.8933428934787834,1.1276875496888032,1.0284131804059873,0.9057847925247542,25.51111111111111,1.1948665081512169,1.21301534798187,1.0400477367376242,1.1953432157548904,25.51111111111111,1.7857743861041169,1.76255631693893,1.7753831688696602,1.7647871361980667,1.6555306219185362
306,25.594166666666663,0.9138959215331262,0.8736391700316052,1.1104545546118776,1.008614220394379,0.8790874208546049,25.594444444444445,1.1735520145914924,1.1862827271464562,1.0098713531816603,1.1674976962734818,25.594444444444445,1.750319711562758,1.7383343541881997,1.7412811772833918,1.7376759371302053,1.6240114486793336
307,25.6775,0.8887674524443838,0.8476860892682341,1.0907296129622257,0.9893401551851636,0.8529345953643754,25.677777777777777,1.1491671911672527,1.1609035232973213,0.9816625473169108,1.133196370917734,25.677777777777777,1.7228756156926976,1.708527909371485,1.7118163688772734,1.7155631305786074,1.595506412552959
308,25.76361111111111,0.858371225840957,0.8274834908598525,1.0677125707060422,0.9679908014388084,0.8275263032978879,25.76111111111111,1.1177119102958946,1.1364777553084917,0.9566215773953696,1.0924392391387032,25.76111111111111,1.6944411835754902,1.6791356096132828,1.6835879187224896,1.6840477788268693,1.5414146037950474
309,25.846944444444443,0.8337071555273747,0.807831213578453,1.0326032740468905,0.9527659755983832,0.8106625307912102,25.84722222222222,1.0911860433953984,1.1094054405113252,0.925548698303042,1.0690262989907715,25.84472222222222,1.657615504355241,1.6559560878148192,1.6543950051490763,1.653128948292775,1.5115351168379143
310,25.93027777777778,0.8161751545370624,0.7857290952968333,1.0138015694257017,0.934865493889558,0.7831432628726562,25.93055555555556,1.063189460884321,1.0818865946945122,0.8920441615599435,1.033157547131649,25.93055555555556,1.6075976712386084,1.6261879826540422,1.6286368097459212,1.616605709528295,1.4850670502905547
311,26.01361111111111,0.7945751351323389,0.7607769729886003,0.9997073035207736,0.9070891723206004,0.7573684834627883,26.01388888888889,1.0317220321818024,1.0503212321040785,0.8625082153200975,1.0078329788223723,26.01388888888889,1.5665867814947982,1.6012299385856288,1.602912517360766,1.5854771372195882,1.4522095069386491
312,26.096944444444443,0.7687070088044158,0.7411746827281679,0.9795203232477728,0.8842368266823795,0.7317381753744152,26.09722222222222,0.9935836257075604,1.0229093654433807,0.8285411043715402,0.984452587927306,26.09722222222222,1.5365819364555704,1.5798806058409791,1.5782213161002017,1.555342310186998,1.4213615937445554
313,26.18027777777778,0.7479706862733997,0.718322059690758,0.947440475759734,0.8619082725483637,0.7094523203125911,26.18055555555556,0.9663741088818952,0.9898510058731104,0.7971430701363158,0.946016366914141,26.18055555555556,1.5045822415152328,1.560538640428219,1.553962397329672,1.528200311385059,1.3719224218473158
314,26.26361111111111,0.7335660774882911,0.6980189381523998,0.9262676084470598,0.8389033252746216,0.690110898874619,26.26388888888889,0.940893348125686,0.9603461630112888,0.7559143506704789,0.9145243068538956,26.26388888888889,1.470186806130647,1.5382027041322015,1.5319349556734745,1.48725022790249,1.3452911065626545
315,26.346944444444443,0.717093091626984,0.681665151489931,0.8980015689375193,0.8194217999998225,0.6679138905500482,26.34722222222222,0.9101412088603916,0.9361948449332732,0.7332551806640942,0.8845763974209148,26.34722222222222,1.4375947438212218,1.5128714645145038,1.506538189014754,1.451891150962199,1.2638667673829749
316,26.43027777777778,0.6957516370962658,0.6618605321809958,0.874442205096252,0.7920635116452351,0.6464612737206745,26.43055555555556,0.8833175555080537,0.910597058171752,0.705765791441238,0.8543726268928702,26.43055555555556,1.4000051721689195,1.4819435949134294,1.483971298495513,1.4161221759212794,1.2326485279773636
317,26.51361111111111,0.6759416215318192,0.6534049118040475,0.8431893650257626,0.7680282749147276,0.62735302566054,26.51388888888889,0.8568222514912922,0.880952807716747,0.6808464109599948,0.8291129821507615,26.51388888888889,1.3638172128182533,1.4486177744440067,1.4588334885166012,1.3803424022710136,1.1790355161915882
318,26.599722222222223,0.6506629517982203,0.6306981210383464,0.8186428970659255,0.7459159042947684,0.6109891225359356,26.59722222222222,0.8338551592333066,0.8502620970156135,0.6516972638124587,0.7991974486789154,26.59722222222222,1.3146299914762851,1.420492687997991,1.4303239667377232,1.34115093363687,1.1472268640480985
319,26.683055555555555,0.6321155339889379,0.6093399896639602,0.784202649793982,0.7273262140544275,0.5919695394053976,26.683333333333334,0.7998161401578788,0.8291249279730396,0.622118571224737,0.7760260105649852,26.68083333333333,1.2738426379126304,1.3925670262438627,1.3986419440774347,1.3099468777785046,1.1268217077460243
320,26.766388888888887,0.6144992734263366,0.5897303465617655,0.7646684720245417,0.7064590182453727,0.5578942502197091,26.766666666666666,0.772505054689369,0.807741300951045,0.592310551056944,0.7443986504999502,26.766666666666666,1.2392542859594529,1.3642394856268276,1.3727866347131426,1.2679293465897614,1.098219187661179
321,26.849722222222223,0.589814074661673,0.5660690197134455,0.738440212809583,0.6941141307018713,0.5361632278219011,26.85,0.7483217622527187,0.7759112147689842,0.5660734178032055,0.7143153497781195,26.85,1.205264073511468,1.347908768368817,1.3377572560811064,1.2288974560986707,1.0614184483460556
322,26.933055555555555,0.5732598414750993,0.5577558362014907,0.7189177214384506,0.6746913650407933,0.5091764439472498,26.933333333333334,0.7164661212734493,0.7472346667035435,0.5366073825916566,0.6799760882971269,26.933333333333334,1.1600711425259431,1.3247735824684883,1.3043530288764378,1.2004503264674502,1.0354186385298296
323,27.016388888888887,0.5490364768756598,0.5373906222092019,0.696900847437858,0.6507905346616067,0.4833338692232811,27.016666666666666,0.6869379891776632,0.7195116524887425,0.502712653184443,0.6481808445579331,27.016666666666666,1.1216746390226946,1.3024326417012242,1.2659731770530986,1.1661870819925046,1.0086189111183588
324,27.099722222222223,0.521543883101295,0.5149732030206844,0.6781894405718872,0.6266114527463802,0.4594354731697652,27.1,0.6615372223920415,0.6947421663159332,0.4705894339777206,0.6201295956648283,27.1,1.0946737130840904,1.281284665619132,1.2350169278239047,1.133506851104427,0.9698184231941812
325,27.183055555555555,0.4973819616188366,0.4973034030208527,0.6611833508419862,0.6083539322597826,0.430681224198719,27.183333333333334,0.6336636763438467,0.659726200833801,0.4422379260016544,0.5904223173254268,27.183333333333334,1.072467518855051,1.256528379551047,1.2160835116605238,1.1014087663679963,0.9360163360165178
326,27.266388888888887,0.4823506131240118,0.4759810456954296,0.6458824284869729,0.5922177859490815,0.4054710896144072,27.266666666666666,0.6091172054609215,0.6298637471483641,0.4054583269204204,0.5660589838506722,27.266666666666666,1.0360552145430444,1.226962514602529,1.1879721622934738,1.0646919644821795,0.9004118150212685
327,27.349722222222223,0.4656497375414427,0.4540059536309446,0.6370865239830317,0.5696028263441458,0.3794050356133427,27.35,0.580897663171688,0.6049547948229734,0.3850508310322044,0.5402395681548334,27.35,0.9808359624180912,1.1983858076558618,1.1616821167121263,1.0315555862801318,0.8626040298210182
328,27.43583333333333,0.4476792340246431,0.4287779485147349,0.6153954880437158,0.5473088657574433,0.3590830272842842,27.433333333333334,0.5508049019051496,0.5805993318783134,0.3642156292692027,0.5099640417555087,27.433333333333334,0.9490089288127632,1.1739970013700576,1.1312126151647035,0.994998776729193,0.8427921542050314
329,27.519166666666667,0.4200390009560215,0.4110968511349456,0.5898091716199451,0.5421357162840426,0.3329050286082357,27.51944444444444,0.5248387730908898,0.5511973447924015,0.3325529091976205,0.4816323747736213,27.516944444444444,0.9091732841221808,1.142194844180853,1.0979629011582817,0.9634206849308924,0.8483753661392537
330,27.6025,0.398728935946881,0.3915624813805302,0.5589274259000085,0.5176831898016119,0.3142710024584507,27.60277777777777,0.4977991271590705,0.5191488185005864,0.3128628550176751,0.449644535933421,27.60277777777777,0.8693282028040187,1.1129780903007087,1.0681322214587865,0.9258204641209452,0.8163528477663131
331,27.68583333333333,0.3841489358374174,0.3719746582412496,0.5411501023095626,0.5007510979704202,0.2923809106004276,27.68611111111111,0.4698858135404371,0.4948537363955517,0.2803456475635915,0.4134004925624872,27.68611111111111,0.8356728633784997,1.082745499718813,1.0415198260909952,0.8957972716692557,0.7811237854055191
332,27.769166666666667,0.3610988966967222,0.3561331998076725,0.5222770525116323,0.4727392522333351,0.2724347136919121,27.76944444444444,0.4396986806663129,0.4609120803273128,0.2560014643036061,0.3835002105917236,27.76944444444444,0.7972064484283976,1.0512958382010793,1.0137249683385403,0.863150269079914,0.747487369552863
333,27.8525,0.3343787138227788,0.3392379232711739,0.5017081284066092,0.4548474638158253,0.2512323712828972,27.85277777777777,0.414437575968602,0.4369238306032184,0.227830479339965,0.354343654555364,27.85277777777777,0.7597281445990383,1.0298278772901466,0.9823469047439032,0.8372786219911972,0.7120427948810187
334,27.93583333333333,0.3089882817424655,0.3194886449239381,0.4780431821322536,0.4378755437259579,0.235373841815623,27.93611111111111,0.3903023458797893,0.4082889659879504,0.202232863408924,0.3283307875909661,27.93611111111111,0.723237142598298,0.9983403943053792,0.950184895108419,0.80678150017557,0.6803892602393382
335,28.019166666666667,0.2861274942115541,0.2954851801589571,0.4504820660636931,0.4122233027544021,0.2120590826245764,28.01944444444444,0.3698928358329378,0.380807463703523,0.1742087838807498,0.3028615714394174,28.01944444444444,0.6871326371966029,0.9672321723428688,0.9168382024922732,0.7720580775396848,0.650525968653858
336,28.1025,0.2645962442147113,0.2758273434700301,0.4336246328134245,0.3896905514744261,0.192288049936491,28.10277777777777,0.3462088902616942,0.358079299429284,0.1489584047597196,0.2725359664449296,28.10277777777777,0.6476138272269322,0.9431020002754302,0.893106093214505,0.7383075321243808,0.6146521273272959
337,28.18583333333333,0.2483944239654966,0.2571149484517639,0.4128707352313113,0.3750771002418965,0.167660698870346,28.18611111111111,0.3242503526002825,0.3399044473019137,0.1260818866841191,0.2473539315550441,28.18611111111111,0.609479915584812,0.9139486727526052,0.8705878368530033,0.7023290461046844,0.5581669476390494
338,28.271944444444443,0.222921924906363,0.2325478077995735,0.392620226404586,0.3595827591952828,0.1441769834373692,28.26944444444444,0.3050170652835088,0.3140828799154257,0.0969793869262451,0.2213154243206274,28.26944444444444,0.5703301092283226,0.8841709902006601,0.8414827062445118,0.6731218057898098,0.5346696451451993
339,28.355277777777776,0.2039786377086597,0.21012573330968,0.3684729596578477,0.3364073382556531,0.1214368565410355,28.355555555555554,0.2817088697467583,0.2864145683211654,0.0666510593924044,0.1944204008958751,28.35305555555556,0.530163619178095,0.861567758822589,0.8133899774846224,0.6450850016231584,0.5145594395785078
340,28.43861111111111,0.1833644522726269,0.1874485358791151,0.348428788553063,0.3159506471266749,0.1054402699770653,28.438888888888886,0.2631256064259962,0.2616994820278125,0.0418970546229132,0.1698688160383072,28.438888888888886,0.4883796605173086,0.8329377905981084,0.7873089299277825,0.6154178281823186,0.4812355548484175
341,28.521944444444443,0.1680792577274008,0.1709160255057163,0.3302875668895683,0.2998124952946167,0.0875871744334264,28.522222222222226,0.23886711475777,0.2319375890013782,0.0211175197920988,0.1414606231087741,28.522222222222226,0.457377452391695,0.8060799032836632,0.7694388461872892,0.5845194841790657,0.444497219041054
342,28.605277777777776,0.1433229424310105,0.1559280112881289,0.3060491487040667,0.2701926920283457,0.0654775194903336,28.605555555555554,0.2195332331792052,0.2091288556652085,-0.002287401291702,0.1141957740714495,28.605555555555554,0.4293562180095376,0.7811929204124237,0.7385790121352931,0.5513891724593621,0.4161436644192237
343,28.68861111111111,0.1170953939703788,0.1452843014258065,0.2873133882706286,0.2536910463793301,0.0485112536202475,28.688888888888886,0.2051237991280093,0.1848732468999804,-0.0263175681861434,0.0898742194938369,28.688888888888886,0.394515184641669,0.7578756712942845,0.7177287169027959,0.512826100003358,0.390974127422415
344,28.771944444444443,0.0947964991613237,0.129384703219011,0.2744801401006946,0.2301073671816382,0.0260883241878789,28.772222222222226,0.1842386490424671,0.1581707260437059,-0.0553728438148687,0.0622959085467651,28.772222222222226,0.3626535836214737,0.7307269910158662,0.6904872528796505,0.4816294779253917,0.3589878486667976
