,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA1B1C1_rep2,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep1,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep5,6803_Wilde_WT_rep2,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_Wilde_WT_rep3,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_Wilde_WT_rep4
37,3.102777777777778,177.62124370700317,158.74725718663757,168.05203650029338,160.64765524053507,168.80516732208062,169.16055907537447,183.61421953334846,209.35717382486698,149.78742422212966,166.67749239420644,159.19594722552137,162.8069176644161,162.8536905468007,177.7591697527543,172.95046897864964,149.86745278361568,162.24736633318972,161.04773633100947,167.83802166874403,171.30470242298543,180.08694130887793,229.01478788867982,164.60669091136157,149.75146882463022,162.50899940678786,161.6697909104416,165.14577157769082,161.90632410070194,180.29838538055358,151.38932556070407,165.2437328725005,194.31473171184348,171.10097338250233,166.68582499630284,170.0327178836004,171.84592751793718,153.05797843630592,162.72062557899883,155.69370670816738,169.12920029745453,176.9780108615001,195.90666894644835,189.62228097591986,313.5733152726897
38,3.186111111111111,177.66949560674982,158.91625784156676,168.1655903127265,160.80103560347357,168.9730557898018,169.3095356401045,183.70667746806757,209.3994701283835,149.94920939072307,166.7821270781568,159.34868152861847,162.98776698865436,162.9983160056411,177.8398666342621,173.0006815591543,150.03032612040926,162.35312118607249,161.212843650182,167.97155066421004,171.44102483156337,180.16392706878767,228.414357616241,164.6528930829471,149.9149199986507,162.65673759568148,161.8385696004091,165.29132877133358,162.05493107087017,180.36910213192468,153.6357841928012,165.29613362191293,194.4010656514271,171.26548067103698,166.86190186586455,170.1746578174157,171.99563458710833,153.8973506040161,162.84685447221975,155.8175504342691,169.27430985319444,177.13041598403126,196.04900563302283,189.71371901945002,316.2675507918449
39,3.269722222222222,177.71861427732384,159.0850280372282,168.27918779154146,160.95421869881432,169.14063792596812,169.45830083252315,183.79979547517001,209.44264189271826,150.1107732183745,166.88690014083303,159.5012087804159,163.16820992282874,163.14275001267586,177.92124438076468,173.05192628402324,150.19299076294143,162.45901913528144,161.37771193455816,168.1049826417239,171.57726297505502,180.24157426726688,227.8280439649907,164.70001257055878,150.0781593902738,162.80427499441635,162.0071800657417,165.43672874313748,162.2032642643758,180.44056494712294,155.86117542539023,165.34939452838083,194.4877165356749,171.42959834589394,167.03760495495064,170.3164418222295,172.14507337908964,154.74172422439398,162.97311555769315,155.94128376336235,169.41924486514097,177.28268492298918,196.1911673393658,189.8056830891067,318.9457897757874
40,3.355555555555556,177.76859616986502,159.2535697070113,168.39283037854293,161.10720657016878,169.30791644319018,169.60685676389153,183.89357117212413,209.48668552694232,150.27211762666886,166.99181222152853,159.65353100792038,163.34824982956602,163.28699450471134,178.00330058480841,173.1041987316751,150.3554484857367,162.56506077919192,161.5423431959011,168.23831916532237,171.71341859540914,180.31988057804563,227.2557753484608,164.74804553108186,150.24118882948727,162.95161360464323,162.1756244187556,165.58197343761907,162.35132644170147,180.51277118520042,158.06560340231144,165.40351201429485,194.57468432409757,171.59332932522284,167.2129369518631,170.45807178135314,172.29424614126452,155.5910549882779,163.0994098384999,156.06490847237274,169.56400702996586,177.43481899010203,196.3331559549654,189.89817211491876,321.6080873014968
41,3.4388888888888887,177.819437743693,159.42188478066038,168.50651951203417,161.26000125701432,169.47489404835045,169.75520554119404,183.98800218083045,209.53159744830205,150.43324453348967,167.09686395800696,159.80565023396184,163.5278900635429,163.4310514146076,178.08603284335993,173.15749448979955,150.51770105990138,162.67124671468434,161.70673944200402,168.3715617957318,171.84949343026395,180.39884367930247,226.69748034384003,164.7969881301656,150.40401014274002,163.09875542395037,162.34390476624324,165.72706479519474,162.4991203572354,180.58571821010614,160.24917208244068,165.458482510296,194.66196897557077,171.75667652139657,167.3879005396557,170.59954957415954,172.44315511666056,156.44529869756198,163.22573831523783,156.18842633449648,169.70859804108193,177.5868194949478,196.47497336547067,189.99118502782983,324.2544983629555
42,3.522222222222222,177.87113546630698,159.58997518427458,168.62025662681722,161.41260479469403,169.64157344260326,169.90334926713817,184.0830861276216,209.5773740822191,150.59415585301906,167.20205598650213,159.95756847719363,163.7071339714861,163.57492267127813,178.1694387578063,173.2118091553574,150.67975025312373,162.77757753714437,161.87090267669015,168.50471209036795,171.98548921294733,180.47846125366456,226.15308769197432,164.84683654222326,150.56662515294244,163.24570244586346,162.5120232094734,165.8720047521807,162.6466487592713,180.65940339068578,162.41198523968947,165.5143024552755,194.74957044833516,171.91964284101127,167.56249839613415,170.74087707608334,172.5918025439495,157.30441126519608,163.35210198602195,156.3118391192006,169.85301958864324,177.73868774495432,196.6166214526916,190.08472075969834,326.8850778711483
43,3.605555555555556,177.92368581338613,159.75784284030797,168.73404315419276,161.56501921441682,169.80795732137486,170.05129004015456,184.17882064326244,209.62401186229033,150.75485349573782,167.30738894171807,160.1092877520924,163.88598489217225,163.71861019969023,178.25351593395487,173.26713833458058,150.84159782967396,162.88405384046285,162.0348348998128,168.63777160333612,172.1214076724766,180.55873098820754,225.6225262973666,164.89758695043213,150.72903567946622,163.3924566598456,162.67998184419102,166.01679524079304,162.7939143900086,180.7338241006819,164.55414646300483,165.5709682963749,194.8374886999964,172.08223118488635,167.7367331938559,170.88205615862077,172.7401906574474,158.16834871518572,163.47850184648436,156.43514859222284,169.99727335954486,177.89042504539916,196.75810209459914,190.17877824329747,329.4998806540628
44,3.6888888888888887,177.9770852687892,159.92548966756945,168.84788052196024,161.71724654325746,169.97404837436332,170.19902995439708,184.27520336294984,209.6715072302879,150.91533936842544,167.412863456829,160.26081006895808,164.06444615642795,163.8621159208647,178.33826198203334,173.32347764297205,151.00324555040416,162.99067621703585,162.1985381072554,168.77074188543102,172.25725053355868,180.63965057445566,225.1057252281767,164.9492355467335,150.89124353814435,163.53902005129743,162.8477827606174,166.16143818914776,162.94091998555223,180.80897771873373,166.6757591563695,165.62847648898605,194.92572368752514,172.24444444806454,167.91060760013033,171.0230886893297,172.88832168711446,159.0370671825922,163.60493888977422,156.5583565155717,170.14136103742317,178.04203269940973,196.89941716532513,190.27335641231517,332.0989614566892
45,3.772222222222222,178.03133032455483,160.09291758122288,168.9617701544177,161.86928880415647,170.1398492855387,170.34657109974273,184.37223192631296,209.71985663615914,151.07561537415998,167.51848016347935,160.41213743391395,164.2425210871298,164.00544175187602,178.42367451668983,173.38082270530595,151.16469517274834,163.09744525776458,162.36201429093137,168.9036244841369,172.39301951659002,180.7212177083816,224.6026137162216,165.00177853183263,151.0532505412712,163.68539460155694,163.01542804345013,166.30593552126066,163.08766827591268,180.88486162837742,168.77692653880177,165.68682349675106,195.01427536725703,172.40628551981183,168.08412427701865,171.1639765318298,173.03619785855506,159.91052291353265,163.73141410655776,156.68146464752633,170.28528430265555,178.1935120079633,197.04056853516244,190.36845420135413,334.6823749410203
46,3.855555555555555,178.0864174809013,160.26012849278692,169.07571347236197,162.0211480159203,170.3053627331428,170.49391556179168,184.469903977413,209.76905653802677,151.23568341231817,167.62423969178374,160.56327184890662,164.42021299920438,164.14858960585224,178.50975115699265,173.4391691556274,151.32594845072242,163.20436155205542,162.52526543878426,169.03642094362746,172.5287163376566,180.8034300904067,224.11312115697527,165.05521211519886,151.21505849760246,163.8315822878996,163.182919771863,166.45028915704745,163.234161985006,180.96147321804585,170.85775164435557,165.7460057915623,195.1031436948927,172.56775728361742,168.25728588133384,171.30472154580224,173.1838213930179,160.78867226517974,163.85792848501836,156.8044747426367,170.42904483236063,178.34486426988687,197.1815580705648,190.4640705459319,337.25017568605165
