,Exp. 1 WT,Exp. 2 WT,Exp. 3 WT,Exp. 1 ΔkaiA1B1C1,Exp. 2 ΔkaiA1B1C1,Exp. 3 ΔkaiA1B1C1,Exp. 1 ΔkaiB3,Exp. 2 ΔkaiB3,Exp. 3 ΔkaiB3
amplitude,3.895400779038968,4.004729868534525,4.819945861355752,0.37195154405274256,0.3615320186536818,0.1881692402544239,0.6478123075564526,0.6248686193373537,0.7775157476835555
angular frequency,0.23976658213058671,0.2387040575480088,0.2340170346323838,0.18959803028742103,0.16996645250892123,0.21056387582478375,0.15631094328845793,0.15388120954654078,0.17414584597091912
phase angle,5.781393160810984,5.649217764259034,5.986857165218119,5.678683951362303,1.0571903659163628,0.749468008857353,1.2664046606572745,1.219449897199186,1.372920107669385
period,26.205425507369103,26.322071655258288,26.849264700109593,33.13950729158206,36.96720861341619,29.839806484223367,40.19670776079015,40.83140056992638,36.08001828667693
mean_period,,26.458920620912327,,,33.31550746307388,,,39.03604220579782,
sd_period,,0.34304220742879,,,3.5669591142988253,,,2.5795865556913227,
