,E007_Time[h],E007_6803_deltaKaiB3C3_rep1,E007_6803_deltaKaiB3C3_rep2,E007_6803_deltaKaiB3C3_rep3,E007_6803_deltaKaiB3C3_rep4,E007_6803_deltaKaiB3C3_rep5,E008_Time[h],E008_6803_deltaKaiB3C3_rep1,E008_6803_deltaKaiB3C3_rep2,E008_6803_deltaKaiB3C3_rep3,E008_6803_deltaKaiB3C3_rep4,E011_Time[h],E011_6803_deltaKaiB3C3_rep1,E011_6803_deltaKaiB3C3_rep2,E011_6803_deltaKaiB3C3_rep3,E011_6803_deltaKaiB3C3_rep4,E011_6803_deltaKaiB3C3_rep5
93,7.785833333333333,-0.770968983072004,-0.5451886474227423,-0.8510036263504848,-0.9238371016348348,-0.8474897892445139,7.7861111111111105,-0.9788075717480602,-1.0083107177540367,-1.040735283508216,-0.8717058328486688,7.7861111111111105,-0.8778212019832812,-1.3513408387031685,-1.2178542060052564,-1.4532660379655715,-1.3727494908590252
94,7.869166666666667,-0.8337492959158131,-0.6147591413874699,-0.9105364698837144,-0.9781759801065504,-0.9102853115873996,7.8694444444444445,-1.043917115805237,-1.0729166373678842,-1.1017763902496056,-0.9296806516801704,7.8694444444444445,-0.935939837831612,-1.434142738160293,-1.2997750453604655,-1.540341767979508,-1.4582578743596062
95,7.9525,-0.8969141443959481,-0.6754892639566514,-0.9714492989312196,-1.0403170300035252,-0.9678978583410818,7.9527777777777775,-1.1093153650232015,-1.1384155984507769,-1.1611040921590474,-0.9840280684302612,7.9527777777777775,-0.9977573628666124,-1.5158542992361703,-1.3779013299284746,-1.6206870764786918,-1.5458156693174
96,8.035833333333333,-0.959263849526105,-0.7265784273009797,-1.0315424176711432,-1.0962610248217712,-1.028527496950608,8.036111111111111,-1.1782020558385264,-1.2044072567762163,-1.2231181025533049,-1.0355463763480652,8.036111111111111,-1.0520756509853526,-1.5944772397128824,-1.452234562427588,-1.7129043857051574,-1.6352248813695924
97,8.119166666666667,-1.0185987324177457,-0.7878260451692694,-1.0868161303246402,-1.156208736365549,-1.0823742954159163,8.119444444444444,-1.2347769261083914,-1.2784912698058175,-1.282018136114499,-1.091433872692223,8.119444444444444,-1.111696571808073,-1.6768132734261243,-1.523176241265651,-1.7967961118065137,-1.7100875117975811
98,8.205277777777777,-1.0779191142800977,-0.8580315328884554,-1.1444707411558728,-1.2105609347473698,-1.1358383222918371,8.202777777777778,-1.2908397151105828,-1.3360672966893086,-1.3332039088901164,-1.144688858730888,8.202777777777778,-1.165021990678182,-1.755664110265208,-1.5935278605400542,-1.873364664835945,-1.7806055575269777
99,8.288611111111111,-1.1316253164201524,-0.9327943073635948,-1.193706554472013,-1.2633183883879893,-1.193919646688092,8.288888888888888,-1.360790163543495,-1.395134998264532,-1.3888751382930016,-1.1969096397417318,8.286388888888888,-1.215653768662259,-1.8274314561730636,-1.6638909100377253,-1.945212448752212,-1.8527810111276055
100,8.371944444444445,-1.1851176602426674,-1.0005137870778669,-1.2469238746232416,-1.3104818640164142,-1.258018338269292,8.372222222222222,-1.4228280135261284,-1.456694037057446,-1.443831543101362,-1.24989452501194,8.372222222222222,-1.282393762550052,-1.901717013146236,-1.7308668752351375,-2.0135418614196468,-1.928815860813504
101,8.455277777777777,-1.239596467250165,-1.0585893920925709,-1.3017230060027505,-1.361652126669899,-1.3057344672549405,8.455555555555556,-1.4801530085980918,-1.5037440772821191,-1.499472843458764,-1.3004418278382135,8.455555555555556,-1.3526438248544783,-1.973722479234888,-1.7870572372983042,-2.080355294608159,-1.9951120904429216
102,8.538611111111111,-1.2876620590429324,-1.126220544047129,-1.3505042530467382,-1.4086299396939488,-1.354468104419431,8.538888888888888,-1.5347648937195992,-1.564484784840737,-1.5499987608741377,-1.3471498655267695,8.538888888888888,-1.411005803811627,-2.0408495485427967,-1.85726347308278,-2.145655133993233,-2.0636716795183228
103,8.621944444444445,-1.3367147573190206,-1.1920066661590818,-1.402267920234415,-1.4606160647423148,-1.4016193210920511,8.622222222222222,-1.5926634152714734,-1.6153158273235968,-1.6026090182217725,-1.392216959393341,8.622222222222222,-1.4720815433807537,-2.1072999112273565,-1.9218870551336629,-2.2092437591559264,-2.1276966031863824
104,8.705277777777777,-1.3839548838742468,-1.2441471832240945,-1.4472143120879997,-1.508611261776998,-1.447388189156975,8.705555555555556,-1.6426483210551428,-1.6676368740091103,-1.6561033397413194,-1.437241434763175,8.705555555555556,-1.5264728832442849,-2.17027525349958,-1.9851294516855915,-2.272723543582871,-2.190188832237991
105,8.788611111111111,-1.4345827606021944,-1.3024415216159522,-1.4893437331727193,-1.5534162890682477,-1.4969747810532712,8.788888888888888,-1.6919193602926446,-1.7088475958638034,-1.7034814510377905,-1.474821620971036,8.788888888888888,-1.587181658807816,-2.2239772576240933,-2.0373921266627466,-2.3258968546662766,-2.249150333108251
106,8.871944444444445,-1.4751987094942094,-1.348089109286561,-1.533656488096811,-1.5884319031945622,-1.5431791697748976,8.872222222222222,-1.7420762836266217,-1.753947665542316,-1.7421430790815589,-1.5139558513612028,8.872222222222222,-1.6442097012001131,-2.2812076019191414,-2.09167653967885,-2.386966053703925,-2.307583067876476
107,8.955277777777777,-1.520003052639404,-1.3964893757659484,-1.574952881511522,-1.6296588590426873,-1.5820014288707047,8.955555555555556,-1.786318843120324,-1.7989367573874029,-1.779287952208358,-1.54984246328747,8.955555555555556,-1.69515883727311,-2.3347679607565848,-2.1495841460371685,-2.4421334958991734,-2.365088994266197
108,9.04138888888889,-1.5631961122246567,-1.448441752162266,-1.623233218111108,-1.6660979098076192,-1.620241632444433,9.038888888888888,-1.8360467922576091,-1.8506145474299296,-1.821515800119284,-1.5878797981131467,9.038888888888888,-1.7456308896019106,-2.3944600045619007,-2.1991163967305063,-2.492601530360956,-2.4232700656451525
109,9.12472222222222,-1.606778210534609,-1.495145671161783,-1.662497802632834,-1.700149806992601,-1.6580998551547148,9.125,-1.8732598859429437,-1.8955807133888776,-1.8634263538807927,-1.6298662012110587,9.1225,-1.79282767648479,-2.4476853998141808,-2.252274738441212,-2.546172500103776,-2.4751282310252978
110,9.208055555555555,-1.6485496699516673,-1.539000567028891,-1.7015469398569745,-1.7342153004091254,-1.6955761722150724,9.208333333333332,-1.9101578805013972,-1.9378349346713424,-1.8964193459247012,-1.662200021963547,9.208333333333332,-1.842951011943189,-2.4926458090461363,-2.299860613541176,-2.591448742047717,-2.5250654350628
111,9.29138888888889,-1.685710812956005,-1.586805875606105,-1.733980934606813,-1.7744951381769327,-1.7360706593939197,9.291666666666666,-1.9431405336786491,-1.9725768923725344,-1.925294510048189,-1.698879613762469,9.291666666666666,-1.8868027057217227,-2.540342890844092,-2.341475460091828,-2.6358325870184363,-2.56668361805804
112,9.37472222222222,-1.7310619621255598,-1.6319610343140591,-1.7632000917486423,-1.8089900667240129,-1.7627833930145609,9.375,-1.9858076046409856,-2.008206269275774,-1.9500515814137944,-1.724903334009196,9.375,-1.934584563288173,-2.586778299847992,-2.379520711844144,-2.679526359747164,-2.6117847159556105
113,9.458055555555555,-1.7672034401360328,-1.6570654821515092,-1.7926047161917658,-1.838100830786604,-1.8025144499551944,9.458333333333332,-2.023958853975299,-2.0363227498525003,-1.98429029654942,-1.7560695441146148,9.458333333333332,-1.983898385833491,-2.6301536867513944,-2.422997798238637,-2.7199323788707064,-2.653970660344317
114,9.54138888888889,-1.8047355697608929,-1.6959186596953342,-1.8205951128884943,-1.872628173409192,-1.8276639076489063,9.541666666666666,-2.056994043689089,-2.0745260202622617,-2.015010393348326,-1.7867766094991286,9.541666666666666,-2.023545970271797,-2.6730706983014745,-2.4653081444053657,-2.756652956931446,-2.70144337845718
115,9.62472222222222,-1.8382586738713715,-1.7415200091005307,-1.8465715868341488,-1.8981728359445131,-1.856631844083676,9.625,-2.0919129372104632,-2.105415768352725,-2.039011611069136,-1.8094228995926565,9.625,-2.064929109240384,-2.7033309772990246,-2.4990531711639274,-2.795290400377336,-2.739604793171432
116,9.708055555555555,-1.873373075436466,-1.7790689741002206,-1.8725344430670587,-1.921535558053551,-1.881818337802372,9.708333333333332,-2.124315299388136,-2.134591683659666,-2.0756936903358336,-1.832606787834632,9.708333333333332,-2.0940495910997097,-2.737536162598452,-2.531834295023464,-2.8294470095619086,-2.7792568230085166
117,9.79138888888889,-1.90647909752294,-1.8181650000056453,-1.8942839866685648,-1.944717077705537,-1.902823467902755,9.791666666666666,-2.1604008964914287,-2.179853457406979,-2.102656373137764,-1.8611266516740048,9.791666666666666,-2.1275091999334057,-2.773287889107782,-2.5616529281826583,-2.870725078744268,-2.814001382134093
118,9.8775,-1.93077706329532,-1.8552075337061684,-1.917820522763016,-1.9657181311779532,-1.9264473140374767,9.875,-2.196769496210269,-2.2064007825066687,-2.1260994028296323,-1.88418087256924,9.875,-2.1613097155482706,-2.8011877877886557,-2.591510478529734,-2.902926896089093,-2.845840380358033
119,9.960833333333332,-1.9572672960158988,-1.8875960236692733,-1.9413443565177704,-1.9827394530565288,-1.9514899564140809,9.96111111111111,-2.226820867655193,-2.231633353558856,-2.1518225241315063,-1.9023678359883176,9.95861111111111,-2.193452913474273,-2.829037485656331,-2.618408349642457,-2.9284547436666406,-2.8759757231344194
