,E007_Time[h],E007_6803_deltaKaiA3C3_rep1,E007_6803_deltaKaiA3C3_rep2,E007_6803_deltaKaiA3C3_rep3,E007_6803_deltaKaiA3C3_rep4,E007_6803_deltaKaiA3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3C3_rep1,E008_6803_deltaKaiA3C3_rep2,E008_6803_deltaKaiA3C3_rep3,E008_6803_deltaKaiA3C3_rep4,E011_Time[h],E011_6803_deltaKaiA3C3_rep1,E011_6803_deltaKaiA3C3_rep2,E011_6803_deltaKaiA3C3_rep3,E011_6803_deltaKaiA3C3_rep4,E011_6803_deltaKaiA3C3_rep5
93,7.785833333333333,-0.952996723255261,-1.0095968926491254,-0.8122947260595317,-0.9935304210395246,-0.8838718562234753,7.7861111111111105,-0.9766316123719287,-0.956444156390038,-0.9235532427562064,-0.9101746469711568,7.7861111111111105,-1.7808534164600336,-1.509824995464363,-1.6250393284018747,-1.5640018687937975,-1.4486285811461208
94,7.869166666666667,-1.021788106213736,-1.077039524212687,-0.8877294156901473,-1.063902650430932,-0.9433761176742984,7.8694444444444445,-1.044014710548311,-1.028512972753921,-0.9965303274870256,-0.9679314186042042,7.8694444444444445,-1.9109242453709716,-1.6017896865396943,-1.7234801699168707,-1.661603546546846,-1.5457828944234928
95,7.9525,-1.0942268166564737,-1.1414839272602917,-0.946204779509586,-1.1377373345690454,-0.992867030575728,7.9527777777777775,-1.1075428272004482,-1.097951369699725,-1.0573049507950167,-1.040446543555392,7.9527777777777775,-2.0307624587679323,-1.6879388122514685,-1.812865082388408,-1.7521474527433991,-1.6356608882216723
96,8.035833333333333,-1.1681128266449043,-1.205130304173332,-1.0159196958814771,-1.2066344084474223,-1.050943689006751,8.036111111111111,-1.1780167242872328,-1.1639599451672156,-1.1280774817897656,-1.0879199099921124,8.036111111111111,-2.1537709780506007,-1.7812737529026634,-1.9067957827754096,-1.8440352521167076,-1.7398642389610308
97,8.119166666666667,-1.2326461090443224,-1.273978857593676,-1.0874730461443094,-1.27219380786699,-1.1102051895033227,8.119444444444444,-1.2450371625350578,-1.2317392963021354,-1.193248289348281,-1.1865514062050675,8.119444444444444,-2.274752716668625,-1.862795885485739,-1.998073983936664,-1.9292686054616783,-1.833394619222884
98,8.205277777777777,-1.302026637523885,-1.33862979042367,-1.1488637146114344,-1.3416154694360405,-1.1612506310583668,8.202777777777778,-1.3064049014378156,-1.2948900194562056,-1.262817742115,-1.2497409206082724,8.202777777777778,-2.3939105801216147,-1.9527065836826356,-2.082701394630819,-2.015649169634877,-1.9396536977494856
99,8.288611111111111,-1.3726543865566128,-1.4038833058261373,-1.219290588571064,-1.4064993305702322,-1.2200791151217762,8.288888888888888,-1.3701206992568995,-1.3700127101871262,-1.333586208501783,-1.311888341739052,8.286388888888888,-2.509447465959144,-2.032407217864772,-2.162479719516389,-2.097978597554526,-2.025643139444034
100,8.371944444444445,-1.4389293314193918,-1.4665396072243797,-1.2827525582862704,-1.470045329492593,-1.2978897456004137,8.372222222222222,-1.432585313021201,-1.4363079632585745,-1.400754056687921,-1.3583935582580426,8.372222222222222,-2.6199662637807464,-2.1108991550930494,-2.23941065915175,-2.1800585382005027,-2.1145646053706693
101,8.455277777777777,-1.500851448192971,-1.5237988983021735,-1.340048516994988,-1.5312534052335154,-1.3548816288581087,8.455555555555556,-1.4935994985271122,-1.4955763726402076,-1.4591216546201262,-1.4142564589491924,8.455555555555556,-2.7292698552359216,-2.182583759117847,-2.3166959099951425,-2.2570906366143437,-2.1940197527544703
102,8.538611111111111,-1.5546207137619614,-1.581061383003777,-1.3969773609100122,-1.5897234976307593,-1.4152538737156612,8.538888888888888,-1.5507640103385252,-1.5614185315076594,-1.5288893700125403,-1.44747693271976,8.538888888888888,-2.839761114024129,-2.252262390379027,-2.38733716440467,-2.3342765338992413,-2.26221023498146
103,8.621944444444445,-1.6092371058148416,-1.6419272655339223,-1.4591379892189975,-1.6348555473294513,-1.4732055914508395,8.622222222222222,-1.6134796017868325,-1.624635032242544,-1.579857570346729,-1.4662548686003154,8.622222222222222,-2.939842905894792,-2.3163364060059286,-2.460736110638298,-2.406217867220046,-2.3337377015986025
104,8.705277777777777,-1.6635006028439507,-1.6889967503578205,-1.509129304084461,-1.682649495782086,-1.5189358957983812,8.705555555555556,-1.670347024970925,-1.684226466432451,-1.6310266228716852,-1.5129901557447398,8.705555555555556,-3.0415180886472943,-2.380607159817375,-2.536094432853857,-2.476716269803263,-2.4242037983138034
105,8.788611111111111,-1.7176111841454929,-1.7382700422011597,-1.570550210643782,-1.7375052852485249,-1.5978439029499922,8.788888888888888,-1.7303670307571952,-1.7373934248709504,-1.6819968946038275,-1.547282683430227,8.788888888888888,-3.1235895121309856,-2.4522760023216668,-2.6072138111090397,-2.538773370937057,-2.49181016699591
106,8.871944444444445,-1.7743688298195357,-1.7843473460501056,-1.6259996170091977,-1.7862228587959934,-1.6319287315543476,8.872222222222222,-1.7891403687795333,-1.7913364975575914,-1.7321687523270002,-1.5633323410572788,8.872222222222222,-3.2222600182451755,-2.5131442807165856,-2.6744959213614017,-2.60339079597125,-2.5625584456747124
107,8.955277777777777,-1.8277735207700108,-1.837028867151301,-1.682276434267809,-1.8306021602990876,-1.69618950271709,8.955555555555556,-1.8406677874393316,-1.8366562736978975,-1.7783425625924738,-1.59633901814971,8.955555555555556,-3.313132440939138,-2.569413338889393,-2.736542435468364,-2.662970166317318,-2.63265026854094
108,9.04138888888889,-1.8744252387047136,-1.887114811011868,-1.736579576481576,-1.8810431344397676,-1.750025340000834,9.038888888888888,-1.88535003390548,-1.8871533417033748,-1.8165186917189453,-1.657302604354647,9.038888888888888,-3.403209606212108,-2.6326845174168323,-2.799955021187208,-2.721513099448398,-2.6944872659462664
109,9.12472222222222,-1.9181239661353036,-1.928005383399403,-1.7859079606873216,-1.9255457267073628,-1.7996353694251597,9.125,-1.935787854114372,-1.9412282891915051,-1.8604975057925373,-1.6748229894425266,9.1225,-3.4864943321132835,-2.6997591535651235,-2.8511353421750805,-2.77042120889928,-2.7532710644033047
110,9.208055555555555,-1.9632696863773025,-1.966300790341982,-1.8310605068967292,-1.968909883398568,-1.825218719466618,9.208333333333332,-1.9729819927698964,-1.98308170298575,-1.8980793706667995,-1.7303000633070964,9.208333333333332,-3.5727894287418245,-2.754238581289973,-2.9034850579889904,-2.8268961042664147,-2.809603286585609
111,9.29138888888889,-1.9994623835500984,-2.0158012381281587,-1.8730361380963412,-2.003135551617443,-1.870574521058728,9.291666666666666,-2.018733193343444,-2.0293141691155485,-1.936064651962706,-1.7817337159654172,9.291666666666666,-3.6526976982468544,-2.79892413123656,-2.954605824085811,-2.882539391207906,-2.8570855513276805
112,9.37472222222222,-2.0453020425769406,-2.052706933306962,-1.9224337802475648,-2.0376226792754197,-1.904101907591977,9.375,-2.054842198073906,-2.0749262728163176,-1.9752537150686584,-1.790323837557859,9.375,-3.7312219348274582,-2.85081713073955,-2.995099291822279,-2.934352671443517,-2.909119473624955
113,9.458055555555555,-2.091788649184945,-2.086818082687901,-1.9688523622866645,-2.076571215091292,-1.939800014913823,9.458333333333332,-2.092309747967672,-2.111718598529454,-2.0158469251404827,-1.7928703183481032,9.458333333333332,-3.808964924732686,-2.896118903823086,-3.0399671084549924,-2.975937542754669,-2.9585066646338145
