,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep3,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep3,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep3,6803_WT_rep2,6803_deltaKaiA3_rep4,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep4,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep4,6803_WT_rep3,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep3,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep1,6803_WT_rep4,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep4,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep3,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep3,6803_Wilde_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep4,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep2
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7.199999999999999,0.9242009861598022,-0.5822448725261156,-0.44612874129068725,-0.7090574008306101,-0.47874694550527563,-0.5012324664445318,0.8886472116984668,-0.5964276695519484,-0.4767602134958782,-0.7610785414212882,-0.5073037111202077,-0.5099383998997062,0.8897519242064638,-0.020987491062012337,-0.5806023830194283,-0.4639461790863424,-0.552696569141746,0.0904598337961551,0.8942421183052451,0.3939168540633481,-0.5340384208877852,-0.4176603044518449,-0.4266590518205178,0.030472735249098146,-0.5060798179835029,-0.03271306908065496,-0.7517521922482533,-0.41001367575571385,-0.3686135638532516,0.1059823845367244,9.763791504024637,-0.4366944185502575,0.09038138474244385,-0.6643965076086018,-0.433120558282193,-0.45177364807392806,0.150390599520984,-20.787352851442055
87,7.283333333333333,0.8936101018238449,-0.6602110732448053,-0.5331408591190191,-0.797628356193784,-0.5610280543299739,-0.5843749886550123,0.861658028782466,-0.6734238207746377,-0.5604988157733624,-0.8432646853203863,-0.5818485603071999,-0.6015861326996427,0.8728593090970255,-0.06384778982638176,-0.6610836036859132,-0.5379355863114574,-0.6173233678857831,0.07621638481275686,0.8692635091603975,0.3647636753699741,-0.6101971002413241,-0.49855886575351877,-0.49317755939805896,0.0317194485795402,-0.5748061401201072,-0.05826318778499255,-0.8381620277719187,-0.4836183450508904,-0.4299184125801002,0.08286389661990615,9.030307036236515,-0.5103512439288358,0.059223082573764935,-0.7451610752679074,-0.5045657150170895,-0.5405263099909924,0.1332131416441223,-13.651970437911046
88,7.366666666666666,0.8649173245894823,-0.7330401448440383,-0.6136194422439839,-0.8847449000357859,-0.6337997530364503,-0.6778868924293933,0.8283554148266176,-0.7491209867500455,-0.6469252973260768,-0.9286275019713919,-0.6542889078159194,-0.6886176747333755,0.831067997834547,-0.10061593553599943,-0.7339348905455023,-0.615464643790072,-0.6924388068106468,0.06417553070510285,0.8363402674156267,0.34096185708076043,-0.6908451111017366,-0.5782227998261518,-0.5582807244167564,0.032074875928052395,-0.640296240343611,-0.08149969668351245,-0.9255381555892492,-0.5576179626440805,-0.5096541003554307,0.06900039531417253,8.475575952275722,-0.5826723894728252,0.018802037953184015,-0.8243966533639286,-0.5661700113510968,-0.6231849113852999,0.11574519678702586,-6.4128287204790615
89,7.4527777777777775,0.8313260568995529,-0.8023319042424597,-0.6991643993752583,-0.9728076701980017,-0.7094617681170283,-0.7675687930322574,0.8019428470896781,-0.8193186943798305,-0.7292393014359062,-1.0125673604867307,-0.7324243976030683,-0.7718334697262194,0.8007814071649137,-0.13729169096090338,-0.8043552481944051,-0.6837341221085808,-0.7642425896755718,0.046737424329721805,0.8000760836051544,0.3135119207586289,-0.7789821481465914,-0.656852710167661,-0.6211668120591256,0.030739315677446824,-0.7079493530702694,-0.11102165748039822,-1.011880911958461,-0.6270128992728863,-0.5906198389649864,0.049991851154739676,7.705365050203879,-0.6584565404401934,-0.01708055928162572,-0.9023029461308631,-0.612733334588428,-0.7027491604062666,0.10218657626709102,1.0192337234228723
90,7.5361111111111105,0.797239692868595,-0.8802861696145716,-0.7797756402219371,-1.0564173038281979,-0.7808138274846378,-0.8510213050090893,0.7702237943953031,-0.8830164724275449,-0.8054404729274024,-1.0948846298982464,-0.7980546753134669,-0.8516339610430899,0.7724029454409903,-0.17547482003256498,-0.8803436845948209,-0.7565447906208771,-0.836334421605154,0.031502218667620284,0.7722746393099336,0.2834143866392933,-0.8570079074501292,-0.7332491994819419,-0.6786340915171971,0.03311306668262591,-0.7763647151690991,-0.14002813403994618,-1.0959906331807887,-0.7026035254423348,-0.6684148421664252,0.033038235045923056,7.001841214127692,-0.7257023855429179,-0.05302352249530863,-0.9782796592848231,-0.6700555721566077,-0.7814187665072145,0.08213709194058652,8.277377209521042
91,7.6194444444444445,0.7614616182828442,-0.951102760390735,-0.867253075492534,-1.1345744373805247,-0.8490556604728151,-0.9304450421862739,0.7344017171320467,-0.951613851518638,-0.8795284581677829,-1.1679796791572006,-0.8713793882800442,-0.9290195916885049,0.738536012622617,-0.21136508784388858,-0.9498992110749396,-0.8304974174483549,-0.9111140090893495,0.011670066824286823,0.7435396071576528,0.24346977363125838,-0.9439220864832654,-0.8118128696788671,-0.7518808359925178,0.029596428270579504,-0.8421415659618746,-0.17411819238656362,-1.175067655600487,-0.7749902114248798,-0.7546383256893192,0.020539518261138204,6.125371414198954,-0.7836086169469871,-0.08742566825482506,-1.0575265000238387,-0.7219366116064726,-0.8635934404453726,0.05659655620265426,15.388360946699029
92,7.7027777777777775,0.728595210600237,-1.0181814972571677,-0.9391966168949843,-1.2162797066155115,-0.913586997835706,-1.0096406176710984,0.6992800672533627,-1.0157103641404515,-0.960502905066934,-1.2448528771342717,-0.9387981855238482,-1.0121908043065835,0.6981840002766104,-0.24916226064921027,-1.0208208423289409,-0.9023927694799072,-0.9767810599834773,-0.0005588779703139795,0.7068746508227352,0.21207859931581916,-1.0235243841135873,-0.8833443218742896,-0.8133053226961492,0.02378970024038653,-0.9120791472231291,-0.2038909007047695,-1.2487123156048288,-0.8465733272604021,-0.8280895072351534,0.004495672442901258,5.351122706614541,-0.8401739302723996,-0.1254858163294521,-1.1324431770278591,-0.8325763406121696,-0.9412728942818787,0.034564781987309626,21.69174303699772
93,7.7861111111111105,0.6884438389504093,-1.0891222021559472,-1.0118061771366418,-1.2973337466000714,-0.9788075717480602,-1.09300864385175,0.6658622882776051,-1.0815055446422213,-1.0331634630774085,-1.3219045926195576,-1.0083107177540367,-1.0927480411810493,0.6623502915767661,-0.28326610586429857,-1.0851075964169952,-0.9766316123719287,-1.040735283508216,-0.015184462361737538,0.6708834250263376,0.1856413799470611,-1.0970145006053555,-0.9564441563900381,-0.8717058328486688,0.01989318286321565,-0.9715767031801549,-0.23154532933919397,-1.3215249496241082,-0.9235532427562063,-0.9035676064773298,-0.010293330397172836,4.221862233616423,-0.8997970245931668,-0.15960278969078195,-1.1998294004587486,-0.9101746469711567,-1.0164568413817763,0.020241582767440605,27.910280475615316
94,7.8694444444444445,0.6504108641346941,-1.1487246982850068,-1.085681669924281,-1.374137191707498,-1.043917115805237,-1.1705497323973186,0.6281518152880283,-1.1495989292350801,-1.1053097831944259,-1.3909351943225716,-1.0729166373678842,-1.1742917442352254,0.6298382613038559,-0.32447639206635526,-1.147758494765261,-1.044014710548311,-1.1017763902496056,-0.029206532871061154,0.6305695755363505,0.16735863045186114,-1.170992137619503,-1.028512972753921,-0.9296806516801704,0.017707176882323546,-1.0324334805130015,-0.26708055079457865,-1.3805058941316368,-0.9965303274870255,-0.9786718450611613,-0.026627517878368222,2.9769572234916515,-0.9496766024373068,-0.19237541451272513,-1.262084881960289,-0.9679314186042042,-1.086944996414016,0.0034267725548090752,34.001529150907295
95,7.9527777777777775,0.6196996386261251,-1.2141888100981397,-1.1608230099640955,-1.4498906756174677,-1.1093153650232015,-1.243864494257794,0.590352074932785,-1.2131900559920537,-1.1785415179558725,-1.4621450508722467,-1.1384155984507769,-1.2444223550320388,0.595651275845628,-0.35279288899401584,-1.208572562165889,-1.1075428272004482,-1.1611040921590474,-0.0368249358948827,0.5967367391673989,0.14523086442988564,-1.2416569982136367,-1.097951369699725,-0.9840280684302612,0.01623198351305507,-1.09104872835448,-0.2966956397357765,-1.4492554856437478,-1.0573049507950167,-1.044001446603877,-0.0443069172508687,2.063174990572364,-0.9962113697868507,-0.22840252017150683,-1.3224093346581811,-1.040446543555392,-1.158937075351456,-0.015079834099951204,40.08424384438645
96,8.036111111111111,0.5825135065694358,-1.268314363304996,-1.2270301129616987,-1.5223948313160378,-1.1782020558385264,-1.3165535396640684,0.5546664854249268,-1.277878464848063,-1.2530583214423037,-1.530934530816931,-1.2044072567762165,-1.3229403147740166,0.5621926931968075,-0.3852153675473465,-1.2679488267770176,-1.1780167242872328,-1.2231181025533047,-0.049039517705322125,0.5627885437808428,0.12565859415359262,-1.3062087868420345,-1.1639599451672156,-1.0355463763480652,0.01606790444284445,-1.144221698290159,-0.32518967298775203,-1.5129740607197917,-1.1280774817897656,-1.1123556366946201,-0.06013155539575944,1.1156829352357884,-1.04780003607784,-0.2614829392456696,-1.3832024731600416,-1.0879199099921124,-1.2366327954708625,-0.03467842210733182,45.9471782307229
97,8.119444444444444,0.5434558037810578,-1.321501184871084,-1.3007028956221243,-1.5832502910956463,-1.2347769261083914,-1.3856174781279345,0.522898456542407,-1.3390636975999213,-1.325459849276939,-1.5919040026243931,-1.2784912698058175,-1.3978460643032904,0.5182658629590977,-0.4227435997878478,-1.3264863201227777,-1.2450371625350578,-1.2820181361144993,-0.06725012445001932,0.5299286082847746,0.10304233056823,-1.3716472093556495,-1.2317392963021354,-1.091433872692223,0.010815241831214049,-1.202351644358365,-0.34976172953558227,-1.5778619559621396,-1.193248289348281,-1.179333642894448,-0.06790145882502582,0.31064854390423613,-1.1018413142003258,-0.3018155075160721,-1.4480640135554035,-1.1865514062050675,-1.302631875352907,-0.05616917583895373,52.10168487774405
98,8.202777777777778,0.5029298577491225,-1.3787491030177694,-1.3676412756498242,-1.6478576865551144,-1.2908397151105828,-1.4568569184420865,0.4830513896280768,-1.4003452979063402,-1.393345758625668,-1.6466538346818163,-1.3360672966893086,-1.4731400441015914,0.4850741263411773,-0.4513773589384521,-1.391984077093286,-1.3064049014378156,-1.3332039088901164,-0.08085660215213689,0.48096054263402177,0.0757825832918386,-1.4409719730021067,-1.2948900194562056,-1.144688858730888,0.0036742983097751633,-1.2594378230501848,-0.37001089052445335,-1.6441195080161823,-1.262817742115,-1.2523346947363314,-0.08381665368155194,-0.9457606109548934,-1.152533920498371,-0.33039906396589036,-1.5117936734157185,-1.2497409206082724,-1.3813340348821694,-0.07015227912756417,57.93711524643458
99,8.288888888888888,0.4571389876334596,-1.4382579472222776,-1.4362451717486724,-1.7150176485996451,-1.360790163543495,-1.5266724686801192,0.4425286775896875,-1.4545228112879234,-1.4549157081970447,-1.7129843952958044,-1.395134998264532,-1.5494226942902547,0.4328208161587027,-0.4935164193835242,-1.4456411359446533,-1.3701206992568995,-1.3888751382930016,-0.09865879671035653,0.4442879478301463,0.05467986061524733,-1.5083827864257047,-1.3700127101871262,-1.1969096397417318,0.001245376982228548,-1.3106794933094634,-0.3943362392596649,-1.7037470535703285,-1.333586208501783,-1.3215580237251572,-0.09727716573912329,-1.3943768708291135,-1.204876574770048,-0.3632324507806144,-1.5697911717943556,-1.311888341739052,-1.4493389952471358,-0.09182791526703513,63.56361969093651
100,8.372222222222222,0.4132865042655991,-1.5008275482176887,-1.5097145036219595,-1.7773308074408218,-1.4228280135261284,-1.5916647361965297,0.40133370489989084,-1.5117957851271695,-1.5213693582422914,-1.7764960526923774,-1.456694037057446,-1.6210944546302168,0.3847092568343079,-0.5199605566688631,-1.5026565382989787,-1.432585313021201,-1.443831543101362,-0.10565655389888373,0.3945144159214427,0.03873466950207649,-1.5690793596674144,-1.4363079632585745,-1.24989452501194,0.0003287814243639123,-1.3622759165328042,-0.41893686120662804,-1.758544929356008,-1.400754056687921,-1.3886028633377254,-0.12128302040242415,-1.8456324911608526,-1.2570680002674397,-0.3949145133480537,-1.6252562292265997,-1.3583935582580426,-1.5244464789402004,-0.10719626701236792,69.17974745854917
101,8.455555555555556,0.360175710148769,-1.5554577379929437,-1.5724491919723995,-1.8377977925966105,-1.4801530085980918,-1.6564343276267155,0.362069847596237,-1.5617637686684724,-1.5765063705552975,-1.8373891750169724,-1.5037440772821193,-1.6807557645220161,0.32454276439760193,-0.5483095475016984,-1.5616293291443517,-1.4935994985271122,-1.499472843458764,-0.12304971936744263,0.35944353000294166,0.011747515588738001,-1.6366614041648786,-1.4955763726402076,-1.3004418278382137,0.006724815684057604,-1.4122263565695703,-0.44461184399086473,-1.8151134721476696,-1.4591216546201262,-1.4596684490227494,-0.14083424270704012,-2.596759641347451,-1.3033069236966401,-0.4274441002583317,-1.6815885677296547,-1.4142564589491924,-1.589856209757664,-0.1246575165796901,74.52424668972915
102,8.538888888888888,0.32140989945789816,-1.6127483497928412,-1.6368491585021236,-1.8970192328913584,-1.5347648937195992,-1.7281818488869762,0.3159404732811759,-1.6112263130181201,-1.6385264084726203,-1.8916641303344466,-1.564484784840737,-1.7466070630057928,0.27412464648517254,-0.5843631697506936,-1.6121585568348502,-1.5507640103385252,-1.5499987608741377,-0.13943813864128057,0.31567886421640734,-0.014881096815567157,-1.6941286327524148,-1.5614185315076594,-1.3471498655267697,-0.0021662157187234965,-1.4601300797218824,-0.4671602773980075,-1.8644530187627808,-1.5288893700125405,-1.5235540182008585,-0.15733085731945645,-3.4931904047411635,-1.3519920752177523,-0.4584200633038896,-1.7367879108026405,-1.44747693271976,-1.6621679127997349,-0.13741184564625655,79.71986441809037
103,8.622222222222222,0.27619235803961295,-1.6624992181180347,-1.689914325912684,-1.9571957564557954,-1.5926634152714734,-1.7931079051745114,0.26674894112205716,-1.6557829711442953,-1.6976291368734822,-1.9463212866290718,-1.6153158273235968,-1.8046487887612894,0.2358582023405843,-0.6157212024459449,-1.6626432730905436,-1.6134796017868325,-1.6026090182217723,-0.1488216571211654,0.2678239837503369,-0.0365506647288455,-1.7504807596610135,-1.624635032242544,-1.3922169593933407,-0.0003440077919243563,-1.503186354744621,-0.4859812533738014,-1.917963906061829,-1.579857570346729,-1.583458810264595,-0.1699728885370585,-4.009956778649154,-1.3939221884448922,-0.4848412574794847,-1.7950539834265933,-1.4662548686003154,-1.7253813144705268,-0.14885943535044818,84.76254657040407
104,8.705555555555556,0.23072636341223904,-1.708510178725041,-1.745044617905053,-2.0139279907270318,-1.6426483210551428,-1.8594131009674228,0.22249860185113102,-1.7058332978770752,-1.7542142221797739,-1.9917610118045395,-1.6676368740091103,-1.863081380107852,0.18154672281437814,-0.6475834257789812,-1.7148825329974917,-1.670347024970925,-1.6561033397413194,-0.1584001200833859,0.2186824448399633,-0.05686068649631431,-1.8135175005183373,-1.684226466432451,-1.437241434763175,-0.0026082550714018014,-1.5471944528454253,-0.5070738660241031,-1.9702464709483203,-1.6310266228716852,-1.6363820665784163,-0.17956036028813155,-5.130690674333508,-1.4320960004461853,-0.5131065409821903,-1.8489865120644686,-1.5129901557447398,-1.7800961424780624,-0.16380046629177344,90.49483796659877
105,8.788888888888888,0.18381518476580289,-1.7471810686262292,-1.8058399591796213,-2.0658165624485596,-1.6919193602926446,-1.915898040024714,0.1803927977655456,-1.7509768499084313,-1.8132813323560533,-2.0355836736839583,-1.7088475958638034,-1.9229052750044262,0.13559349036407142,-0.6691496211027629,-1.7616753950077424,-1.7303670307571952,-1.7034814510377903,-0.17277337267975268,0.16705779476725208,-0.08221066179039917,-1.8698385723487219,-1.7373934248709504,-1.474821620971036,-0.004558651620922206,-1.5955536476846934,-0.5250372116148802,-2.0163010503687824,-1.6819968946038277,-1.690323030478694,-0.19209329613186168,-5.359023917011217,-1.4691122517437676,-0.5402147752113965,-1.8965852246611385,-1.5472826834302267,-1.8287121258342713,-0.18143511853086863,96.04408231976026
106,8.872222222222222,0.14226208296202775,-1.7923117260898302,-1.8599002754361997,-2.1130620976702525,-1.7420762836266215,-1.9705633253862889,0.13663486272734982,-1.7878131857922304,-1.8690301369095454,-2.082189640009854,-1.753947665542316,-1.9761209110495608,0.10280177905416013,-0.696019570931685,-1.8074209209393355,-1.7891403687795333,-1.7421430790815589,-0.18334125993759698,0.11875357186090435,-0.10100009161073695,-1.922843693573176,-1.7913364975575914,-1.5139558513612028,-0.005594891032165039,-1.6328632153755818,-0.546270388572212,-2.0723279813127595,-1.7321687523270002,-1.738280947273712,-0.2085717192583341,-5.859588245854191,-1.5137696863137837,-0.5623648247688093,-1.9438498506433923,-1.5633323410572788,-1.8848289948549901,-0.20116357158949427,101.60042223613175
107,8.955555555555556,0.09867031053433808,-1.8325019906399311,-1.9068254933740185,-2.1596652217483676,-1.786318843120324,-2.0248095593729527,0.09462812216349101,-1.8237418659442333,-1.9200603068901412,-2.1303792784441704,-1.7989367573874027,-2.0325287254814075,0.0723748545561155,-0.7205930589415743,-1.8521181759762988,-1.8406677874393313,-1.779287952208358,-0.19270362675977082,0.06997330549635503,-0.12282847828417026,-1.9707325840093814,-1.8366562736978977,-1.54984246328747,-0.011516666424721055,-1.6725224344840055,-0.5687724974822888,-2.117727600812818,-1.7783425625924738,-1.7996550642436713,-0.22399565248853473,-6.490615313989248,-1.554467051586392,-0.5869555574584522,-1.9843801209199359,-1.5963390181497101,-1.9384464811599624,-0.21198600445054183,106.7011992151136
108,9.038888888888888,0.05264311168785728,-1.8701517030564778,-1.9606155406917294,-2.2020265593455415,-1.8360467922576094,-2.0774373435864106,0.047375893065816896,-1.8657624526420946,-1.9675715148904,-2.172352956568268,-1.8506145474299296,-2.088529155177719,0.0207159741483868,-0.7474698699696898,-1.9025662286686504,-1.88535003390548,-1.821515800119284,-0.20006031792464796,0.025920516095772204,-0.15149532546475392,-2.0175049648716934,-1.8871533417033748,-1.5878797981131467,-0.009323670446090206,-1.7095305860286396,-0.5851426410914135,-2.155100245944541,-1.8165186917189455,-1.8486446306406856,-0.23876511827434893,-7.046136688498123,-1.5898030984457594,-0.6093858442866636,-2.0291757678813935,-1.657302604354647,-1.989164317672838,-0.22330259555802573,112.12795364926357
109,9.125,0.0013837222994058963,-1.9136607053752728,-2.0088703460874027,-2.2501467344307935,-1.8732598859429435,-2.1184472789092723,0.00128148399107594,-1.8978745100253644,-2.0193634350455474,-2.214711041882928,-1.8955807133888776,-2.1425226366558494,-0.028171613283599708,-0.7728497900147232,-1.9449641509323996,-1.9357878541143718,-1.8634263538807927,-0.2108111780861236,-0.024601284871941173,-0.17440013813375138,-2.0729605587711384,-1.9412282891915054,-1.6298662012110587,-0.012615595271685834,-1.7542869534809165,-0.5979799243059998,-2.1934462538265334,-1.8604975057925375,-1.9002488976887844,-0.2540801386985627,-7.700383850417463,-1.629176581230063,-0.6312545594620995,-2.073836525400305,-1.6748229894425266,-2.047182238621175,-0.2353135228170902,117.40802482429672
