,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep3,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep3,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep3,6803_WT_rep2,6803_deltaKaiA3_rep4,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep4,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep4,6803_WT_rep3,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep3,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep1,6803_WT_rep4,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep4,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep3,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep3,6803_Wilde_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep4,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep2
38,3.186111111111111,172.25654508182458,161.53213228286023,176.69078868497732,156.4134407047503,160.72740097456872,161.71230750613762,172.43642597245204,146.65357939012267,154.67091949978456,164.39953441891518,156.82045753354126,151.62107047096157,165.8903200860396,151.67517303437427,158.12963552426365,163.45621262547982,166.33959801701144,177.23052554883083,163.1302647070111,160.57486082525287,157.42563045687527,161.42477830601942,158.85285708099846,179.99344736921353,156.40516300999343,160.33070724054826,165.54888025042948,168.87089649141623,165.9456367612794,189.0931707736518,295.10053051987717,159.3795083679176,155.39208537031297,163.70319002431762,211.79270200975867,173.53635313238945,191.76748860935677,897.3060054839756
39,3.272222222222222,172.28831491527714,161.66670276666687,176.81473410400054,156.5582741857316,160.84527267052553,161.847359083182,172.45776616390734,146.77485566743607,154.78348855581407,164.53141646924016,156.92686960897674,151.74515720802233,165.91612760639634,151.77784583673778,158.23294869110188,163.577293228176,166.44228496609588,177.3148338361943,163.15228155977115,160.63563863322403,157.54260649628173,161.55116505691055,158.93543074880446,180.06845852956022,156.51487350224008,160.4060405793426,165.67844291617578,168.98833280265092,166.04092338392712,189.1814371484347,296.19318888487555,159.46838426073543,155.46667206246752,163.81545102616028,211.87906823761034,173.63834968552277,191.8635731483155,883.7759125507719
40,3.355555555555556,172.32095698364012,161.80134613354357,176.93875137175283,156.70302223098733,160.96324943641983,161.98235006328687,172.47999379406983,146.89625738247344,154.8961640515587,164.66325757504666,157.03339586351183,151.86920629975756,165.94280491212564,151.88063897136078,158.33648273252916,163.69827558691992,166.54507605735455,177.3993466589445,163.1752277262909,160.6966912456134,157.65968783337465,161.67748768248535,159.01847567885196,180.14377465444147,156.62478670767942,160.48170714063917,165.8079559470241,169.1057462084682,166.13648035187367,189.26984675030485,297.278226620234,159.5575905429048,155.54158136959043,163.9277986399941,211.96559908731024,173.7404674072048,191.95973864722657,870.3842875801294
41,3.4388888888888887,172.35446748887637,161.93606214075572,177.06284034947151,156.8476855113057,161.08133093126511,162.117281095874,172.5031049850135,147.01778397369645,155.00894555702374,164.79505810927478,157.14003586091778,151.99321820701147,165.97034818781302,151.98355214584532,158.44023649325723,163.81916053084174,166.64797092969206,177.48406387013765,163.199099090756,160.75801807781568,157.77687409648962,161.80374682395777,159.10198994587157,180.21939546789875,156.73490174422176,160.5577058835368,165.93741967718924,169.22313709065293,166.23230678323887,189.35839962625928,298.35568101503253,159.6471257356181,155.616811949734,164.04023249966224,212.05229444030533,173.84270594364932,192.05598532036902,857.1305165744509
42,3.522222222222222,172.38884264127708,162.0708505468246,177.18700089939318,156.9922646967814,161.1995168154955,162.25215282964606,172.52709586724737,147.13943488142868,155.12183264375696,164.926818444784,157.24678916665403,152.11719339026783,165.99875362643698,152.08658506895475,158.54420882136375,163.93994888783914,166.75096922337838,177.56898532270543,163.22389154630534,160.81961854655268,157.8941649153589,161.92994312174773,159.18597162860326,180.2953206935013,156.84521773223,160.63403576929457,166.066834440929,169.34050583075737,166.32840179811447,189.44709582292592,299.42558927230596,159.7369883635218,155.69236246415286,164.15275224048972,212.13915417816582,173.9450649423741,192.15231338148308,844.013986642982
43,3.605555555555556,172.42407865946174,162.20571111152728,177.31123288475393,157.1367604568154,161.31780675096567,162.38696591258665,172.55196257971568,147.26120954785557,155.23482488484893,165.05853895435325,157.3536553478681,152.2411323096501,166.02801742936913,152.18973745061396,158.6483985682924,164.06064148457722,166.85407058004873,177.6541108694552,163.24960099503113,160.88149206987342,158.01155992111148,162.0560772154811,159.27041880979664,180.37155005434641,156.95573379451992,160.71069576133152,166.19620057254423,169.45785281010126,166.42476451856407,189.53593538656358,300.48798850904416,159.82717695471644,155.76823157730388,164.2653574992835,212.2261781825853,174.04754405220078,192.24872304377007,831.0340860018113
44,3.6888888888888887,172.46017177037808,162.34064359589675,177.43553616978926,157.28117346011516,161.43620040095092,162.5217209919602,172.57770126979764,147.38310741702446,155.34792185493285,165.1902200106809,157.46063397339563,152.3650354249213,166.05813580637405,152.29300900190924,158.75280458885283,164.18123914648868,166.95727464270385,177.73944036306963,163.2762233479788,160.9436380671542,158.12905874627296,162.18214974398984,159.35532957621078,180.44808327305918,157.06644905636,160.78768482522693,166.32551840637876,169.57517840977175,166.52139406862324,189.62491836306202,301.54291575619186,159.91769004075647,155.84441795684637,164.3780479143325,212.31336633538064,174.1501429232549,192.3452145198924,818.1902039738694
45,3.772222222222222,172.49711820930224,162.47564776222183,177.5599106197341,157.4255043746944,161.5546974301472,162.65641871431214,172.6043080933077,147.50512793484458,155.46112313018457,165.32186198638465,157.56772461376036,152.48890319548406,166.08910497560936,152.39639943508828,158.85742574122068,164.30174269777365,167.06058105570975,177.8249736561071,163.3037545251471,161.00605595909852,158.24666102476561,162.30816134531176,159.44070201861425,180.52492007179268,157.17736264547148,160.8650019287201,166.45478827681947,169.6924830106234,166.61828957429947,189.71404479794188,302.59040795864877,160.00852615665045,155.92092027364188,164.4908231254075,212.40071851849197,174.2528612069659,192.44178802197374,805.4817309889303
46,3.855555555555555,172.53491421983853,162.61072337404718,177.68435610082275,157.56975386787332,161.673297504671,162.7910597254687,172.6317792144953,147.62727054908711,155.57442828832265,165.4534652540017,157.67492684117417,152.61273608038056,166.12092116362567,152.49990846356025,158.9622608869376,164.42215296139975,167.1639894647978,177.91071060100137,163.332190455488,161.06874516773698,158.36436639190842,162.4341126566907,159.52653423178518,180.60206017222782,157.28847369202833,160.94264604171047,166.58401051829625,169.8097669932782,166.71545016357214,189.80331473635465,303.63050197526934,160.09968384086088,155.9977372017543,164.6036827737612,212.48823461398283,174.35569855606718,192.53844376159873,792.9080585836103
47,3.9388888888888887,172.57355605391967,162.74587019617337,177.80887248028898,157.71392260627843,161.79200029205947,162.9256446705371,172.66011080604503,147.74953470938507,155.6878369086083,165.5850301859887,157.78224022953702,152.7365345382927,166.15358060536664,152.60353580189573,159.0673088909112,164.54247075910217,167.26749951706475,177.9966510500618,163.3615270769067,161.13170511642755,158.48217448441704,162.5600043145765,159.6128243145112,180.6795032955735,157.39978132865738,161.02061613625764,166.71318546528204,169.92703073812555,166.81287496639257,189.89272822308277,304.6632345788632,160.19116163530427,156.07486741844977,164.7166265021282,212.57591450403999,174.458654624596,192.6351819498132,780.4685794013685
