,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
99,8.288611111111111,-1.1663209030626036,-1.1118482549115962,-1.1442978764727596,-1.1458891769229755,-1.1692828590503903,8.288888888888888,-1.3215580237251572,-1.4493389952471358,-1.5266724686801192,-1.5494226942902547
100,8.371944444444445,-1.2256539699803244,-1.160847501078923,-1.194699397923244,-1.189333437546249,-1.2212397821754184,8.372222222222222,-1.3886028633377254,-1.5244464789402004,-1.5916647361965297,-1.6210944546302168
101,8.455277777777777,-1.292343286826797,-1.2095226959940697,-1.2430047531802195,-1.233877299215456,-1.2695035733590767,8.455555555555556,-1.4596684490227494,-1.589856209757664,-1.6564343276267155,-1.680755764522016
102,8.538611111111111,-1.341988172158245,-1.2600738211484404,-1.295813801005686,-1.2831204931879476,-1.3218740238340505,8.538888888888888,-1.5235540182008585,-1.6621679127997349,-1.7281818488869762,-1.7466070630057928
103,8.621944444444445,-1.3933879466841537,-1.306500858642548,-1.3383264009194842,-1.3334627519453857,-1.375750925832004,8.622222222222222,-1.583458810264595,-1.7253813144705268,-1.7931079051745114,-1.8046487887612892
104,8.705277777777777,-1.430341933267268,-1.3564037911860136,-1.3849424131992925,-1.37670380919374,-1.4221340725835816,8.705555555555556,-1.6363820665784163,-1.7800961424780624,-1.8594131009674228,-1.863081380107852
105,8.788611111111111,-1.468449456923595,-1.4027826020975669,-1.4348616988806295,-1.42364339986329,-1.4608232583184069,8.788888888888888,-1.690323030478694,-1.8287121258342716,-1.915898040024714,-1.9229052750044264
106,8.871944444444445,-1.5027098448224032,-1.454437275305045,-1.4718841197568526,-1.461281260108626,-1.507018278265081,8.872222222222222,-1.738280947273712,-1.88482899485499,-1.9705633253862889,-1.9761209110495608
107,8.955277777777777,-1.5439224262862226,-1.4921677953453942,-1.5094095383791593,-1.5022171273086462,-1.5533189286511877,8.955555555555556,-1.7996550642436713,-1.9384464811599624,-2.0248095593729527,-2.0325287254814075
108,9.04138888888889,-1.580686532790843,-1.53417414736467,-1.551837818056586,-1.5438507400665586,-1.5985250067032868,9.038888888888888,-1.8486446306406856,-1.989164317672838,-2.07743734358641,-2.088529155177719
109,9.12472222222222,-1.6194014979653164,-1.5832563171180347,-1.5953688228560106,-1.5767818382098824,-1.6348363106469188,9.125,-1.9002488976887844,-2.047182238621175,-2.1184472789092723,-2.1425226366558494
110,9.208055555555555,-1.6598666575919552,-1.6170142909697582,-1.6316024176021466,-1.6116101627904442,-1.6690526397066046,9.208333333333332,-1.9328671185839088,-2.0918999795364384,-2.160639965505045,-2.189909606072756
111,9.29138888888889,-1.693681349606334,-1.6496480558932232,-1.6671384678775505,-1.6523354560843826,-1.7025737941058428,9.291666666666666,-1.9826985484939152,-2.137717277254,-2.2116160028181406,-2.233490499224998
112,9.37472222222222,-1.722044914097287,-1.6851575994709154,-1.702976840022615,-1.6847574615921437,-1.7369995750671112,9.375,-2.0297424445585763,-2.184233869913139,-2.2601759895738702,-2.282465751548738
113,9.458055555555555,-1.7481566933069128,-1.7115429098944324,-1.7307174011355757,-1.7114759240384818,-1.767129784811868,9.458333333333332,-2.062198065889577,-2.224449496957042,-2.3103205237784468,-2.336435798119738
114,9.54138888888889,-1.7898160316305674,-1.7394039759644793,-1.7587600190725037,-1.7430905893724644,-1.7909642265605497,9.541666666666666,-2.1102646735705157,-2.2661638991328026,-2.3532502027189834,-2.373801073653364
115,9.62472222222222,-1.8092222756168703,-1.761940787090869,-1.787704562447313,-1.7682012047674671,-1.816102704532573,9.625,-2.1457415306569056,-2.3125768184914204,-2.386165622963496,-2.4123620125045817
116,9.708055555555555,-1.843374773967701,-1.795553333292523,-1.8145509006317544,-1.792407518621174,-1.8465450239463332,9.708333333333332,-2.1856279021761766,-2.3474879983878023,-2.4334673803609004,-2.4561190486679614
117,9.79138888888889,-1.8738728775382008,-1.825441605197472,-1.83849890375542,-1.822309280555579,-1.8706909910192064,9.791666666666666,-2.2259230551276703,-2.3848971834807644,-2.477756070041015,-2.492672615777676
118,9.8775,-1.8965159393367728,-1.844605594042854,-1.86934844270574,-1.8431062414169863,-1.8967404129675456,9.875,-2.256226258482644,-2.417804119733028,-2.5172322864145587,-2.529823147107496
119,9.960833333333332,-1.92830331452508,-1.8684452916749164,-1.8914993891279843,-1.8633981532760096,-1.9228930980066847,9.96111111111111,-2.2945367831842662,-2.4556085544112207,-2.5474966231731515,-2.5671710755707995
120,10.044166666666666,-1.9544343604180463,-1.8943606905490145,-1.9079516154252636,-1.880984769427572,-1.946548855350936,10.044444444444444,-2.326053902147624,-2.48751023608588,-2.580349673289315,-2.594116833720564
121,10.1275,-1.979108436483859,-1.9173517837296117,-1.9257049947585252,-1.8974658443909056,-1.967707495213592,10.127777777777778,-2.347976890259715,-2.522508914631449,-2.5987920290164714,-2.6200608537493686
122,10.210833333333332,-2.0015249043439645,-1.93321856489028,-1.9399594010465595,-1.9096411339095527,-1.9781688288069244,10.21111111111111,-2.371505024379453,-2.5452043412262784,-2.628624281888946,-2.643803567489395
123,10.294166666666666,-2.0174831277730707,-1.9501610283137,-1.954314708965993,-1.922110394951364,-1.995732668342183,10.294444444444444,-2.397637583337667,-2.5719962683526245,-2.6592470227219627,-2.665145406412428
124,10.3775,-2.034182472699148,-1.96617916889166,-1.9695707939512923,-1.9308733857085008,-2.0113988270295984,10.377777777777778,-2.4175738479370983,-2.595084449796652,-2.683260841611648,-2.6832868016298512
125,10.460833333333332,-2.045622307203427,-1.979472982125059,-1.9833275321947643,-1.938529865597436,-2.02596711907838,10.46111111111111,-2.427913100952402,-2.6148686406484325,-2.707066327935029,-2.7042281838926545
126,10.544166666666666,-2.0602020015203983,-2.000842464123901,-2.001184800646555,-1.949879595258948,-2.0402373596967163,10.544444444444444,-2.4474546271301514,-2.6399485973019443,-2.731464070350036,-2.7257699835914275
127,10.6275,-2.0697209280378166,-2.023087611607301,-2.007942477014649,-1.9627223365581257,-2.0496093650917757,10.627777777777778,-2.463597713188829,-2.664724077455075,-2.7504546567954984,-2.7481126307563617
128,10.71361111111111,-2.070778461296695,-2.036408421903481,-2.015000439764872,-1.96785785258437,-2.056682952469704,10.71111111111111,-2.4759416478188334,-2.677794840109615,-2.773838674491148,-2.767856555057252
129,10.796944444444444,-2.0715739779913083,-2.044204892949772,-2.023558568120888,-1.9766859076513883,-2.0604579400356284,10.797222222222222,-2.485285721682479,-2.688160645571267,-2.7920167099376165,-2.780402185803493
130,10.880277777777778,-2.0741068569691943,-2.054277023292613,-2.0298167420642006,-1.9790062672972004,-2.070534146993655,10.880555555555556,-2.5062292274139923,-2.6968212554496365,-2.8031893489164394,-2.788149951944085
131,10.96361111111111,-2.06577647923115,-2.064424812087552,-2.032974842334153,-1.9774186982841324,-2.0787113935468686,10.963888888888889,-2.515571459619517,-2.705176432658237,-2.8115571764900498,-2.796900282067628
132,11.046944444444444,-2.0697822279312343,-2.076248259099244,-2.0422327504279254,-1.988322968598824,-2.0819895008973344,11.047222222222222,-2.530711714877108,-2.711625941414491,-2.8253207770017847,-2.8056536044023237
133,11.130277777777778,-2.066923488376766,-2.076347364701455,-2.045590348600541,-1.98551884745222,-2.086968291246095,11.130555555555556,-2.5402492917367345,-2.712969547239727,-2.8316807340758814,-2.805610346815976
134,11.21361111111111,-2.06619964802833,-2.081522129877057,-2.055647519864861,-1.9820061052795768,-2.085647587793174,11.213888888888889,-2.5491834907202824,-2.722407016959181,-2.8326376306174805,-2.814170936815992
135,11.296944444444444,-2.066810096499765,-2.091972556218032,-2.0530041479915853,-1.980384513740464,-2.083827214737573,11.297222222222222,-2.561913614321549,-2.725538118701997,-2.8367920488126206,-2.8199358015493807
136,11.380277777777778,-2.0599542255581764,-2.0826986459254684,-2.0422601175092545,-1.9746538457187532,-2.081306997277274,11.380555555555556,-2.562238967006248,-2.726362621901221,-2.843944570128243,-2.820505367802752
137,11.46361111111111,-2.059631429123929,-2.0729004018095654,-2.036615313704248,-1.9686138753226312,-2.072286761609239,11.463888888888889,-2.5833588552120075,-2.723080297293814,-2.8436957753121908,-2.818880062002318
138,11.549722222222222,-2.0570411032706484,-2.069177827289628,-2.0266696226207843,-1.9616643778845928,-2.0617663349294064,11.547222222222222,-2.588072587348368,-2.725090916920637,-2.838246244393208,-2.819260310213896
139,11.633055555555556,-2.048382646225222,-2.063530926394072,-2.018022931060921,-1.954405129961442,-2.0513455454326968,11.633333333333333,-2.591979473796785,-2.7211942541264627,-2.840396556680939,-2.816446538142899
140,11.716388888888888,-2.0394554583677973,-2.05475970376042,-2.013475126584556,-1.9486359093342929,-2.0362242223130096,11.716666666666669,-2.5966788269106296,-2.716390083559969,-2.84334729076593,-2.8166391711343484
141,11.799722222222222,-2.0312589422317844,-2.046464164635304,-2.0096260975094262,-1.935356495008567,-2.030802195763221,11.8,-2.592969961015185,-2.7058781811737425,-2.8336990245196283,-2.814638634172864
142,11.883055555555556,-2.0203925025038547,-2.036444314874464,-2.0006757329111067,-1.928566667214,-2.02407929697519,11.883333333333333,-2.585052192407649,-2.702458324224274,-2.823852335094384,-2.8032453518826697
143,11.966388888888888,-2.013455546023939,-2.0213001609427472,-1.9920239226230143,-1.9114662074046311,-2.0136553581397534,11.966666666666669,-2.576124839357135,-2.694530291271964,-2.8114077989234456,-2.79185974852759
144,12.049722222222222,-1.9970474817852308,-2.002431709914113,-1.9792705572364049,-1.9002548982588148,-1.9993302124467265,12.05,-2.5661872221046704,-2.6914938621811197,-2.798765991720965,-2.7822822480110507
145,12.133055555555556,-1.985167720934185,-1.998238969471625,-1.9682155281003717,-1.891532523679212,-1.9869036940849043,12.133333333333333,-2.558238662863196,-2.6809488181199543,-2.7911274884819948,-2.7683132738760827
146,12.216388888888888,-1.9700156767705157,-1.985321947907456,-1.959658727321848,-1.876498868792792,-1.9675756382420624,12.216666666666669,-2.549278485817568,-2.66869494156059,-2.7814928634824883,-2.753753249305317
147,12.299722222222222,-1.9465907647472,-1.966680654122889,-1.9398000477656088,-1.8563537199508373,-1.948945881104954,12.3,-2.531706017124554,-2.6529320162790526,-2.766462690279301,-2.7432025971209857
148,12.385833333333332,-1.925292402470476,-1.9501150976283137,-1.9164393830542676,-1.833296864728938,-1.9266142598593123,12.383333333333333,-2.5067205849128413,-2.6286598273552797,-2.750637541710189,-2.7246617397849247
149,12.469166666666666,-1.903720009699842,-1.9428252885432291,-1.8967766275682736,-1.814528091926992,-1.90458061268985,12.469444444444443,-2.488121519283025,-2.607078161173112,-2.72541798989381,-2.700931099398572
150,12.5525,-1.872073008348059,-1.9256112375962424,-1.87241167644592,-1.790047191569209,-1.88244477878026,12.552777777777775,-2.47210815230762,-2.5759868054203,-2.706804606229722,-2.677211097702965
