,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,7.199722222222222,-0.3511237525023268,-0.3443789207763413,-0.3705926165647117,-0.4013019901489445,-0.3898646590308171,7.199999999999999,-0.3686135638532516,-0.451773648073928,-0.5012324664445318,-0.5099383998997062
87,7.283055555555555,-0.4183625792287718,-0.4151888717954702,-0.4370311010559141,-0.4586264245332017,-0.4608128450324451,7.283333333333333,-0.4299184125801002,-0.5405263099909924,-0.5843749886550123,-0.6015861326996427
88,7.369166666666667,-0.4877667105998309,-0.4764750676030289,-0.5043753244109883,-0.5208540650299942,-0.5240707039749091,7.366666666666666,-0.5096541003554307,-0.6231849113852999,-0.6778868924293933,-0.6886176747333755
89,7.4525,-0.5597354371793326,-0.5410374817720108,-0.5710251355400232,-0.5851846269806498,-0.592438014104164,7.4527777777777775,-0.5906198389649864,-0.7027491604062666,-0.7675687930322574,-0.7718334697262194
90,7.535833333333333,-0.6192680516843656,-0.6082760884845211,-0.6281803841109468,-0.6444178269508046,-0.6541145546651429,7.5361111111111105,-0.6684148421664252,-0.7814187665072145,-0.8510213050090893,-0.8516339610430899
91,7.619166666666667,-0.6805638489852801,-0.6679908625317708,-0.6922409205495252,-0.7085533827304061,-0.7137001059017606,7.6194444444444445,-0.7546383256893192,-0.8635934404453726,-0.930445042186274,-0.9290195916885048
92,7.7025,-0.7464221261056885,-0.736181779314081,-0.7502065960393651,-0.7709910133337087,-0.7747944490569071,7.7027777777777775,-0.8280895072351534,-0.9412728942818788,-1.0096406176710984,-1.0121908043065837
93,7.785833333333333,-0.8106421822224633,-0.7942488148408798,-0.8070772625219116,-0.8289304389992793,-0.8303973663724562,7.7861111111111105,-0.9035676064773298,-1.0164568413817765,-1.09300864385175,-1.0927480411810493
94,7.869166666666667,-0.8720233186657391,-0.8555919457307041,-0.8664527726964497,-0.883571381189991,-0.891308641089258,7.8694444444444445,-0.9786718450611612,-1.086944996414016,-1.1705497323973186,-1.1742917442352254
95,7.9525,-0.933364838918911,-0.9026111492111992,-0.9287329800201048,-0.93511356259303,-0.946328057447142,7.9527777777777775,-1.044001446603877,-1.158937075351456,-1.243864494257794,-1.2444223550320388
96,8.035833333333333,-0.9926660486186356,-0.9547064031191198,-0.9775177387078402,-0.9911567071198896,-1.0056554006849183,8.036111111111111,-1.11235563669462,-1.2366327954708625,-1.3165535396640684,-1.3229403147740166
97,8.119166666666667,-1.050926255554829,-1.013677685900328,-1.03420690373246,-1.0437005399063737,-1.059290457040377,8.119444444444444,-1.179333642894448,-1.302631875352907,-1.3856174781279345,-1.3978460643032904
98,8.205277777777777,-1.1049447696706722,-1.0665249766097933,-1.0906003308246053,-1.0979447873125938,-1.114233013750285,8.202777777777778,-1.2523346947363314,-1.3813340348821694,-1.4568569184420863,-1.4731400441015914
