,E007_Time[h],E007_6803_deltaKaiA3_rep1,E007_6803_deltaKaiA3_rep2,E007_6803_deltaKaiA3_rep3,E007_6803_deltaKaiA3_rep4,E007_6803_deltaKaiA3_rep5,E008_Time[h],E008_6803_deltaKaiA3_rep1,E008_6803_deltaKaiA3_rep2,E008_6803_deltaKaiA3_rep3,E008_6803_deltaKaiA3_rep4,E011_Time[h],E011_6803_deltaKaiA3_rep1,E011_6803_deltaKaiA3_rep2,E011_6803_deltaKaiA3_rep3,E011_6803_deltaKaiA3_rep4,E011_6803_deltaKaiA3_rep5
93,7.785833333333333,-0.685627729646956,-0.8325619117451185,-0.8484079000106735,-0.8039838655377165,-0.8713404284550206,7.7861111111111105,-0.9715767031801548,-0.8997970245931668,-1.0891222021559472,-1.0815055446422213,7.7861111111111105,-1.1596501185439083,-1.212717105000242,-1.175550429370794,-1.240759020031056,-1.2566023008432126
94,7.869166666666667,-0.7262393155216588,-0.8741027061715636,-0.8970819480240677,-0.8574496072826256,-0.9215314963139578,7.8694444444444445,-1.0324334805130015,-0.9496766024373068,-1.1487246982850068,-1.14959892923508,7.8694444444444445,-1.2214061060639838,-1.282333597854369,-1.2376365849465338,-1.3092067590316154,-1.3297422054322567
95,7.9525,-0.7690412650912488,-0.9215673010233713,-0.9404921804867076,-0.902408966278914,-0.9604385789639368,7.9527777777777775,-1.09104872835448,-0.9962113697868508,-1.2141888100981395,-1.2131900559920537,7.9527777777777775,-1.2818459431972749,-1.3544210422200176,-1.2914020642952957,-1.3797387645454409,-1.402366171689673
96,8.035833333333333,-0.8094327961012524,-0.9547550975186276,-0.991637937021566,-0.9524614930521732,-1.0040611083312134,8.036111111111111,-1.144221698290159,-1.04780003607784,-1.268314363304996,-1.277878464848063,8.036111111111111,-1.3375704952230805,-1.4255811691825615,-1.360648583576571,-1.4415566213933508,-1.471275833207291
97,8.119166666666667,-0.8542131282257732,-1.0000654988554776,-1.031518559287505,-0.9966067397606074,-1.041198518173593,8.119444444444444,-1.202351644358365,-1.1018413142003258,-1.321501184871084,-1.3390636975999213,8.119444444444444,-1.3961806249377893,-1.4932157061822564,-1.4183778552484942,-1.505261910978081,-1.5468728200382786
98,8.205277777777777,-0.8935814830674947,-1.0462979102121222,-1.0723333909792765,-1.0364442601950303,-1.0886502440804295,8.202777777777778,-1.2594378230501848,-1.152533920498371,-1.3787491030177694,-1.4003452979063402,8.202777777777778,-1.4490771926548804,-1.5577263770142409,-1.47519158806784,-1.5658562112842835,-1.616958758697137
99,8.288611111111111,-0.9357370841576786,-1.0930517387468224,-1.109681777827523,-1.0775736097788688,-1.1364157234726249,8.288888888888888,-1.3106794933094634,-1.204876574770048,-1.4382579472222776,-1.4545228112879234,8.286388888888888,-1.5080610562049244,-1.621314901828536,-1.5358914870900242,-1.6269410968785265,-1.6789352721597042
100,8.371944444444445,-0.9768791569561656,-1.1305263935978935,-1.1545630675987766,-1.1139943455681591,-1.175494395602632,8.372222222222222,-1.3622759165328042,-1.2570680002674397,-1.5008275482176887,-1.5117957851271695,8.372222222222222,-1.562133070935578,-1.677582997130044,-1.5876792536691056,-1.6823181389092965,-1.7378039798631566
101,8.455277777777777,-1.019006928851376,-1.1725212858837095,-1.1919766100954583,-1.1467060262515496,-1.2088857015544523,8.455555555555556,-1.4122263565695703,-1.30330692369664,-1.5554577379929435,-1.5617637686684724,8.455555555555556,-1.6122940897115918,-1.7347323757785515,-1.642356585457785,-1.7315889051069966,-1.799366497706005
102,8.538611111111111,-1.054919629160307,-1.2092358287027014,-1.2337217571558805,-1.1817082121502982,-1.248589084243637,8.538888888888888,-1.4601300797218824,-1.3519920752177523,-1.6127483497928412,-1.61122631301812,8.538888888888888,-1.6633449629148047,-1.7907647469887262,-1.6997251764074035,-1.7795549597839453,-1.855424438048096
