,WT,A3B3C3,C3,A3,A3B3,A3C3,B3C3
mean,26.9,21.924691358024692,21.213095238095235,25.955634920634925,26.253611111111105,20.974999999999998,21.14206349206349
median,26.755555555555553,21.238888888888887,21.319444444444443,25.75027777777778,26.672222222222224,20.98611111111112,20.90000000000001
sd,0.7536583772954528,2.488098384989672,0.6451720293820463,1.245429838367254,1.6309938002191395,1.2433694036303673,2.230568423168295
