,Time(h),6803_WT_rep1,6803_WT_rep1_reg,6803_WT_rep1_signal,6803_WT_rep1_smoothed,6803_WT_rep2,6803_WT_rep2_reg,6803_WT_rep2_signal,6803_WT_rep2_smoothed,6803_WT_rep3,6803_WT_rep3_reg,6803_WT_rep3_signal,6803_WT_rep3_smoothed,6803_WT_rep4,6803_WT_rep4_reg,6803_WT_rep4_signal,6803_WT_rep4_smoothed,6803_WT_mean,6803_WT_sd,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep3_reg,6803_deltaKaiA3_rep3_signal,6803_deltaKaiA3_rep3_smoothed,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep4_reg,6803_deltaKaiA3_rep4_signal,6803_deltaKaiA3_rep4_smoothed,6803_deltaKaiA3_rep1,6803_deltaKaiA3_rep1_reg,6803_deltaKaiA3_rep1_signal,6803_deltaKaiA3_rep1_smoothed,6803_deltaKaiA3_rep2,6803_deltaKaiA3_rep2_reg,6803_deltaKaiA3_rep2_signal,6803_deltaKaiA3_rep2_smoothed,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep1_reg,6803_deltaKaiC3_rep1_signal,6803_deltaKaiC3_rep1_smoothed,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep2_reg,6803_deltaKaiC3_rep2_signal,6803_deltaKaiC3_rep2_smoothed,6803_deltaKaiC3_rep3,6803_deltaKaiC3_rep3_reg,6803_deltaKaiC3_rep3_signal,6803_deltaKaiC3_rep3_smoothed,6803_deltaKaiC3_rep4,6803_deltaKaiC3_rep4_reg,6803_deltaKaiC3_rep4_signal,6803_deltaKaiC3_rep4_smoothed,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep3_reg,6803_deltaKaiA3B3_rep3_signal,6803_deltaKaiA3B3_rep3_smoothed,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_rep4_reg,6803_deltaKaiA3B3_rep4_signal,6803_deltaKaiA3B3_rep4_smoothed,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep1_reg,6803_deltaKaiA3B3_rep1_signal,6803_deltaKaiA3B3_rep1_smoothed,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_rep2_reg,6803_deltaKaiA3B3_rep2_signal,6803_deltaKaiA3B3_rep2_smoothed,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep1_reg,6803_deltaKaiB3C3_rep1_signal,6803_deltaKaiB3C3_rep1_smoothed,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep2_reg,6803_deltaKaiB3C3_rep2_signal,6803_deltaKaiB3C3_rep2_smoothed,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep3_reg,6803_deltaKaiB3C3_rep3_signal,6803_deltaKaiB3C3_rep3_smoothed,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_rep4_reg,6803_deltaKaiB3C3_rep4_signal,6803_deltaKaiB3C3_rep4_smoothed,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA3B3C3_rep3_reg,6803_deltaKaiA3B3C3_rep3_signal,6803_deltaKaiA3B3C3_rep3_smoothed,6803_deltaKaiA3B3C3_rep4,6803_deltaKaiA3B3C3_rep4_reg,6803_deltaKaiA3B3C3_rep4_signal,6803_deltaKaiA3B3C3_rep4_smoothed,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA3B3C3_rep1_reg,6803_deltaKaiA3B3C3_rep1_signal,6803_deltaKaiA3B3C3_rep1_smoothed,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA3B3C3_rep2_reg,6803_deltaKaiA3B3C3_rep2_signal,6803_deltaKaiA3B3C3_rep2_smoothed,6803_deltaKaiA3B3C3_mean,6803_deltaKaiA3B3C3_sd,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep1_reg,6803_deltaKaiB3_rep1_signal,6803_deltaKaiB3_rep1_smoothed,6803_deltaKaiB3_rep2,6803_deltaKaiB3_rep2_reg,6803_deltaKaiB3_rep2_signal,6803_deltaKaiB3_rep2_smoothed,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep3_reg,6803_deltaKaiB3_rep3_signal,6803_deltaKaiB3_rep3_smoothed,6803_deltaKaiB3_rep4,6803_deltaKaiB3_rep4_reg,6803_deltaKaiB3_rep4_signal,6803_deltaKaiB3_rep4_smoothed,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep1_reg,6803_deltaKaiA3C3_rep1_signal,6803_deltaKaiA3C3_rep1_smoothed,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep2_reg,6803_deltaKaiA3C3_rep2_signal,6803_deltaKaiA3C3_rep2_smoothed,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep3_reg,6803_deltaKaiA3C3_rep3_signal,6803_deltaKaiA3C3_rep3_smoothed,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_rep4_reg,6803_deltaKaiA3C3_rep4_signal,6803_deltaKaiA3C3_rep4_smoothed,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_rep1_reg,6803_deltaKaiA1B1C1_rep1_signal,6803_deltaKaiA1B1C1_rep1_smoothed,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_rep2_reg,6803_deltaKaiA1B1C1_rep2_signal,6803_deltaKaiA1B1C1_rep2_smoothed,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep3_reg,6803_deltaKaiA1B1C1_rep3_signal,6803_deltaKaiA1B1C1_rep3_smoothed,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_rep4_reg,6803_deltaKaiA1B1C1_rep4_signal,6803_deltaKaiA1B1C1_rep4_smoothed,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_Wilde_WT_rep1,6803_Wilde_WT_rep1_reg,6803_Wilde_WT_rep1_signal,6803_Wilde_WT_rep1_smoothed,6803_Wilde_WT_rep2,6803_Wilde_WT_rep2_reg,6803_Wilde_WT_rep2_signal,6803_Wilde_WT_rep2_smoothed,6803_Wilde_mean,6803_Wilde_sd
11,0.9305555555555556,172.88,,,,172.9,,,,166.19,,,,163.4,,,,,,166.3,,,,151.05,,,,160.59,,,,163.11,,,,,,179.38,,,,157.25,,,,160.13,,,,159.66,,,,,,163.14,,,,170.8,,,,172.27,,,,169.67,,,,,,160.75,,,,156.85,,,,166.25,,,,158.33,,,,,,165.27,,,,154.33,,,,168.47,,,,176.12,,,,,,150.64,,,,151.34,,,,158.35,,,,153.47,,,,,,163.91,,,,161.73,,,,169.38,,,,210.97,,,,,,175.42,,,,176.68,,,,187.24,,,,189.87,,,,,,338.17,,,,364.85,,,,,
12,1.0138888888888888,173.12,,,,172.78,,,,166.41,,,,163.34,,,,,,166.73,,,,151.25,,,,160.56,,,,163.22,,,,,,179.69,,,,157.1,,,,160.18,,,,159.79,,,,,,163.04,,,,171.13,,,,172.04,,,,169.75,,,,,,160.89,,,,157.0,,,,166.62,,,,158.36,,,,,,165.14,,,,154.44,,,,168.48,,,,176.31,,,,,,150.24,,,,151.34,,,,158.22,,,,154.07,,,,,,164.15,,,,161.87,,,,169.52,,,,213.23,,,,,,175.62,,,,177.03,,,,186.94,,,,189.96,,,,,,331.01,,,,352.03,,,,,
13,1.097222222222222,173.13,,,,173.23,,,,166.5,,,,163.66,,,,,,166.68,,,,151.18,,,,160.62,,,,162.91,,,,,,179.7,,,,157.28,,,,160.29,,,,159.84,,,,,,163.03,,,,171.04,,,,172.17,,,,169.75,,,,,,160.91,,,,157.21,,,,166.42,,,,158.51,,,,,,164.82,,,,154.42,,,,168.45,,,,176.28,,,,,,150.69,,,,151.23,,,,158.55,,,,153.83,,,,,,164.22,,,,161.93,,,,169.68,,,,211.87,,,,,,175.4,,,,177.13,,,,187.15,,,,189.99,,,,,,336.89,,,,352.27,,,,,
14,1.1805555555555556,173.37,,,,173.34,,,,166.67,,,,163.69,,,,,,166.54,,,,151.34,,,,160.92,,,,163.33,,,,,,179.79,,,,157.31,,,,160.36,,,,159.97,,,,,,163.14,,,,171.15,,,,172.02,,,,169.64,,,,,,161.15,,,,157.34,,,,166.88,,,,158.88,,,,,,164.9,,,,154.44,,,,168.64,,,,176.62,,,,,,150.54,,,,151.79,,,,158.94,,,,154.02,,,,,,164.82,,,,162.6,,,,169.98,,,,212.79,,,,,,175.24,,,,177.08,,,,187.52,,,,190.02,,,,,,327.82,,,,359.83,,,,,
15,1.2638888888888888,173.32,,,,173.22,,,,166.35,,,,163.71,,,,,,166.72,,,,150.96,,,,160.53,,,,162.94,,,,,,180.04,,,,157.24,,,,160.47,,,,159.95,,,,,,163.04,,,,170.98,,,,172.03,,,,169.3,,,,,,161.15,,,,157.56,,,,166.68,,,,159.19,,,,,,164.96,,,,154.49,,,,168.61,,,,176.37,,,,,,151.14,,,,151.66,,,,159.26,,,,154.04,,,,,,164.76,,,,162.48,,,,170.17,,,,211.8,,,,,,175.29,,,,177.15,,,,187.33,,,,190.12,,,,,,340.99,,,,367.55,,,,,
16,1.347222222222222,173.49,,,,173.11,,,,166.77,,,,163.55,,,,,,166.62,,,,151.17,,,,160.52,,,,163.06,,,,,,180.17,,,,157.63,,,,160.27,,,,160.12,,,,,,163.13,,,,171.05,,,,171.8,,,,169.48,,,,,,161.45,,,,158.05,,,,167.24,,,,158.9,,,,,,165.03,,,,154.91,,,,168.63,,,,176.47,,,,,,151.12,,,,152.08,,,,159.26,,,,153.99,,,,,,164.77,,,,162.54,,,,170.05,,,,212.58,,,,,,175.4,,,,177.17,,,,187.7,,,,190.14,,,,,,338.56,,,,352.41,,,,,
17,1.4305555555555556,173.78,,,,173.27,,,,166.63,,,,163.57,,,,,,166.41,,,,151.07,,,,160.37,,,,162.9,,,,,,180.07,,,,157.68,,,,160.33,,,,160.57,,,,,,162.61,,,,170.84,,,,171.72,,,,169.23,,,,,,161.67,,,,158.06,,,,167.33,,,,159.26,,,,,,165.06,,,,154.71,,,,168.68,,,,176.51,,,,,,151.15,,,,152.05,,,,159.14,,,,154.39,,,,,,165.04,,,,162.56,,,,170.4,,,,213.18,,,,,,175.63,,,,177.25,,,,187.5,,,,190.09,,,,,,338.99,,,,389.52,,,,,
18,1.5138888888888888,173.41,,,,173.26,,,,166.5,,,,163.49,,,,,,166.26,,,,150.92,,,,160.29,,,,163.29,,,,,,180.32,,,,157.3,,,,160.3,,,,160.33,,,,,,162.8,,,,170.56,,,,171.7,,,,169.41,,,,,,161.75,,,,158.22,,,,167.56,,,,159.33,,,,,,165.1,,,,154.73,,,,168.96,,,,176.88,,,,,,151.22,,,,152.17,,,,159.48,,,,154.4,,,,,,165.34,,,,162.95,,,,170.28,,,,212.09,,,,,,175.65,,,,177.31,,,,187.26,,,,190.08,,,,,,357.46,,,,381.07,,,,,
19,1.6,173.34,,,,173.42,,,,166.44,,,,163.28,,,,,,166.26,,,,150.82,,,,160.38,,,,163.13,,,,,,180.16,,,,157.69,,,,160.41,,,,160.21,,,,,,162.66,,,,170.34,,,,171.73,,,,169.42,,,,,,162.05,,,,158.2,,,,167.6,,,,159.49,,,,,,165.43,,,,154.92,,,,168.91,,,,176.8,,,,,,151.34,,,,152.12,,,,159.29,,,,154.59,,,,,,165.1,,,,162.65,,,,170.73,,,,212.02,,,,,,175.59,,,,177.56,,,,187.66,,,,189.89,,,,,,359.56,,,,387.31,,,,,
20,1.6833333333333331,173.35,,,,173.23,,,,166.91,,,,163.79,,,,,,166.37,,,,150.93,,,,160.48,,,,162.96,,,,,,180.06,,,,157.82,,,,160.49,,,,160.16,,,,,,162.49,,,,170.66,,,,171.32,,,,168.87,,,,,,161.86,,,,158.19,,,,167.68,,,,159.67,,,,,,165.07,,,,154.96,,,,168.92,,,,176.66,,,,,,151.52,,,,156.46,,,,159.66,,,,154.5,,,,,,165.42,,,,163.1,,,,170.48,,,,212.07,,,,,,175.9,,,,177.77,,,,187.6,,,,190.22,,,,,,326.23,,,,381.8,,,,,
21,1.7666666666666666,173.27,,,,172.79,,,,166.41,,,,163.59,,,,,,166.26,,,,151.14,,,,160.47,,,,163.43,,,,,,180.21,,,,157.72,,,,160.62,,,,160.21,,,,,,162.45,,,,170.32,,,,171.37,,,,169.34,,,,,,162.1,,,,158.54,,,,167.81,,,,159.72,,,,,,165.53,,,,154.72,,,,169.16,,,,176.45,,,,,,151.99,,,,156.41,,,,159.5,,,,154.65,,,,,,165.93,,,,163.32,,,,170.84,,,,212.55,,,,,,175.88,,,,177.44,,,,187.99,,,,190.38,,,,,,346.71,,,,382.59,,,,,
