,6803_WT_rep1_peak_timepoints_(h),6803_WT_rep1_peak_heights_(a.u.),6803_WT_rep2_peak_timepoints_(h),6803_WT_rep2_peak_heights_(a.u.),6803_WT_rep3_peak_timepoints_(h),6803_WT_rep3_peak_heights_(a.u.),6803_WT_rep4_peak_timepoints_(h),6803_WT_rep4_peak_heights_(a.u.),6803_WT_rep5_peak_timepoints_(h),6803_WT_rep5_peak_heights_(a.u.),6803_deltaKaiA3_rep2_peak_timepoints_(h),6803_deltaKaiA3_rep2_peak_heights_(a.u.),6803_deltaKaiA3_rep3_peak_timepoints_(h),6803_deltaKaiA3_rep3_peak_heights_(a.u.),6803_deltaKaiA3_rep4_peak_timepoints_(h),6803_deltaKaiA3_rep4_peak_heights_(a.u.),6803_deltaKaiA3_rep5_peak_timepoints_(h),6803_deltaKaiA3_rep5_peak_heights_(a.u.),6803_deltaKaiA3_rep1_peak_timepoints_(h),6803_deltaKaiA3_rep1_peak_heights_(a.u.),6803_deltaKaiB3_rep3_peak_timepoints_(h),6803_deltaKaiB3_rep3_peak_heights_(a.u.),6803_deltaKaiB3_rep4_peak_timepoints_(h),6803_deltaKaiB3_rep4_peak_heights_(a.u.),6803_deltaKaiB3_rep5_peak_timepoints_(h),6803_deltaKaiB3_rep5_peak_heights_(a.u.),6803_deltaKaiB3_rep1_peak_timepoints_(h),6803_deltaKaiB3_rep1_peak_heights_(a.u.),6803_deltaKaiB3_rep2_peak_timepoints_(h),6803_deltaKaiB3_rep2_peak_heights_(a.u.),6803_deltaKaiC3_rep4_peak_timepoints_(h),6803_deltaKaiC3_rep4_peak_heights_(a.u.),6803_deltaKaiC3_rep5_peak_timepoints_(h),6803_deltaKaiC3_rep5_peak_heights_(a.u.),6803_deltaKaiC3_rep1_peak_timepoints_(h),6803_deltaKaiC3_rep1_peak_heights_(a.u.),6803_deltaKaiC3_rep2_peak_timepoints_(h),6803_deltaKaiC3_rep2_peak_heights_(a.u.),6803_deltaKaiC3_rep3_peak_timepoints_(h),6803_deltaKaiC3_rep3_peak_heights_(a.u.),6803_deltaKaiA3B3_rep5_peak_timepoints_(h),6803_deltaKaiA3B3_rep5_peak_heights_(a.u.),6803_deltaKaiA3B3_rep1_peak_timepoints_(h),6803_deltaKaiA3B3_rep1_peak_heights_(a.u.),6803_deltaKaiA3B3_rep2_peak_timepoints_(h),6803_deltaKaiA3B3_rep2_peak_heights_(a.u.),6803_deltaKaiA3B3_rep3_peak_timepoints_(h),6803_deltaKaiA3B3_rep3_peak_heights_(a.u.),6803_deltaKaiA3B3_rep4_peak_timepoints_(h),6803_deltaKaiA3B3_rep4_peak_heights_(a.u.),6803_deltaKaiB3C3_rep1_peak_timepoints_(h),6803_deltaKaiB3C3_rep1_peak_heights_(a.u.),6803_deltaKaiB3C3_rep2_peak_timepoints_(h),6803_deltaKaiB3C3_rep2_peak_heights_(a.u.),6803_deltaKaiB3C3_rep3_peak_timepoints_(h),6803_deltaKaiB3C3_rep3_peak_heights_(a.u.),6803_deltaKaiB3C3_rep4_peak_timepoints_(h),6803_deltaKaiB3C3_rep4_peak_heights_(a.u.),6803_deltaKaiB3C3_rep5_peak_timepoints_(h),6803_deltaKaiB3C3_rep5_peak_heights_(a.u.),6803_deltaKaiA1B1C1_rep2_peak_timepoints_(h),6803_deltaKaiA1B1C1_rep2_peak_heights_(a.u.),6803_deltaKaiA1B1C1_rep3_peak_timepoints_(h),6803_deltaKaiA1B1C1_rep3_peak_heights_(a.u.),6803_deltaKaiA1B1C1_rep4_peak_timepoints_(h),6803_deltaKaiA1B1C1_rep4_peak_heights_(a.u.),6803_deltaKaiA1B1C1_rep5_peak_timepoints_(h),6803_deltaKaiA1B1C1_rep5_peak_heights_(a.u.),6803_deltaKaiA1B1C1_rep1_peak_timepoints_(h),6803_deltaKaiA1B1C1_rep1_peak_heights_(a.u.),6803_deltaKaiA3C3_rep1_peak_timepoints_(h),6803_deltaKaiA3C3_rep1_peak_heights_(a.u.),6803_deltaKaiA3C3_rep2_peak_timepoints_(h),6803_deltaKaiA3C3_rep2_peak_heights_(a.u.),6803_deltaKaiA3C3_rep3_peak_timepoints_(h),6803_deltaKaiA3C3_rep3_peak_heights_(a.u.),6803_deltaKaiA3C3_rep4_peak_timepoints_(h),6803_deltaKaiA3C3_rep4_peak_heights_(a.u.),6803_deltaKaiA3C3_rep5_peak_timepoints_(h),6803_deltaKaiA3C3_rep5_peak_heights_(a.u.),6803_Wilde_WT_peak_timepoints_(h),6803_Wilde_WT_peak_heights_(a.u.)
0,28.605555555555554,6.003899682487541,28.35305555555556,6.049190308474938,28.18611111111111,5.832231213816794,28.522222222222226,6.068928540354461,28.688888888888886,6.003555880660023,24.591666666666665,1.9260389713661223,25.094444444444445,1.8527534818104787,24.1725,1.8737004390758352,24.508333333333333,1.9786640670397095,23.92222222222222,1.790875228499354,25.677777777777777,1.3732063699473769,27.85277777777777,1.1741810422503356,26.43055555555556,1.159437365842673,29.35833333333333,1.5496761228167724,29.691666666666663,1.550301000671816,21.83333333333333,2.5640860583649268,21.33055555555556,2.7181230778382077,21.916666666666664,2.6858793910284646,22.08333333333333,2.438916249182009,22.0,2.455720439271262,24.00555555555556,2.427506281919273,24.258333333333333,2.240043532824725,23.50555555555556,2.959911200311513,25.51111111111111,2.2114891674147485,23.92222222222222,2.058539012703424,22.08333333333333,2.0942199010358906,21.08055555555556,2.511983984538591,24.841666666666665,2.0102234914692496,21.24722222222222,2.6833807425370355,21.49722222222222,2.3841997726256148,27.85277777777777,0.5275561724620247,27.93611111111111,0.4535324345580156,29.441666666666663,0.3556338507805663,28.938888888888886,0.1886273925842597,23.169444444444444,0.5232292557317271,21.163888888888888,2.97208716485823,21.83333333333333,2.623240059586628,21.83333333333333,2.842204904828659,21.83333333333333,2.6956142125312965,22.58611111111111,2.551692919670072,,
1,55.025,5.836135112510939,54.775,5.698753515111811,54.94166666666666,6.295676466427462,54.69166666666666,6.136385280003093,54.85833333333333,5.9540438358346535,65.64444444444445,0.7355577400241113,64.80833333333334,0.6997602465203802,67.06666666666666,0.5920419363190852,67.14999999999999,0.6838300535575654,,,58.78888888888888,0.3318904323290267,65.14194444444445,0.4089611425112169,64.13888888888889,0.3066821706426325,62.88611111111111,0.7752354406104331,61.96666666666666,1.378992649465807,65.22777777777777,0.5546049603894596,61.13055555555555,0.8332832194613959,64.39166666666667,0.6034739154632571,67.06666666666666,0.9865005709558926,66.64722222222223,0.7335829843097801,66.73055555555555,0.6644173819660559,66.14722222222223,0.598573670448002,74.33916666666666,3.501860841875864,69.15555555555555,1.065066669632356,68.73888888888888,1.2068030604425115,62.96944444444444,0.8914523555176915,64.39166666666667,0.5613461062033416,,,61.88333333333333,0.8589156500235088,64.13888888888889,0.7436504381851068,50.42777777777778,0.1690771257684154,48.58888888888889,0.2342604822700457,47.91944444444445,0.3337027161739094,49.675,0.3924357093734594,59.79166666666666,1.240466828438172,74.33916666666666,2.9584371945790737,66.39722222222223,0.4921113412176598,66.23055555555555,0.6343961511828374,64.89166666666667,0.6254918593678304,66.14722222222223,0.8020681428100958,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.32777777777777,0.2681595853179822,77.51666666666667,0.1201138874636177,66.06388888888888,0.553933620420721,75.84444444444443,0.2329814661769144,,,,,,,,,,,,,,
