,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA3B3C3_mean,6803_deltaKaiA3B3C3_sd,6803_deltaKaiA3B3C3_reg,6803_deltaKaiA3B3C3_signal,6803_deltaKaiA3B3C3_smoothed,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_Wilde_WT_rep1,6803_Wilde_WT_rep2,6803_Wilde_mean,6803_Wilde_sd,6803_Wilde_reg,6803_Wilde_signal,6803_Wilde_smoothed
10,0.8472222222222222,172.87,172.75,165.96,162.81,168.59750000000003,4.357438324291004,,,,166.29,151.04,160.34,162.75,160.105,5.645345427872418,,,,179.48,157.14,160.13,159.53,164.07,8.966997825359387,,,,163.13,170.96,171.94,169.62,168.91250000000002,3.4385998240563005,,,,160.44,156.78,166.34,158.28,160.46,3.63557423249753,,,,164.34,153.94,168.22,176.0,165.625,7.946148438079923,,,,150.17,151.14,158.05,153.53,153.2225,3.0435947085642105,,,,163.92,161.65,168.77,211.18,176.38,20.255718945522524,,,,175.07,176.94,187.08,189.98,182.2675,6.3802248197065925,,,,329.99,361.11,345.55,15.560000000000002,,,
11,0.9305555555555556,172.88,172.9,166.19,163.4,168.8425,4.165971525346757,,,,166.3,151.05,160.59,163.11,160.26250000000002,5.690717771072468,,,,179.38,157.25,160.13,159.66,164.105,8.886440513501453,,,,163.14,170.8,172.27,169.67,168.97,3.4899068755484093,,,,160.75,156.85,166.25,158.33,160.54500000000002,3.575901984115336,,,,165.27,154.33,168.47,176.12,166.0475,7.829879868171666,,,,150.64,151.34,158.35,153.47,153.45000000000002,3.0149046419414334,,,,163.91,161.73,169.38,210.97,176.4975,20.096867137690893,,,,175.42,176.68,187.24,189.87,182.3025,6.336940803731723,,,,338.17,364.85,351.51,13.340000000000003,,,
12,1.0138888888888888,173.12,172.78,166.41,163.34,168.9125,4.1825791982938005,,,,166.73,151.25,160.56,163.22,160.44,5.739403279087467,,,,179.69,157.1,160.18,159.79,164.19,9.02715625210952,,,,163.04,171.13,172.04,169.75,168.98999999999998,3.5306585787923486,,,,160.89,157.0,166.62,158.36,160.7175,3.682623894725064,,,,165.14,154.44,168.48,176.31,166.09249999999997,7.85470360675691,,,,150.24,151.34,158.22,154.07,153.46750000000003,3.0778350751786516,,,,164.15,161.87,169.52,213.23,177.1925,20.99079843050282,,,,175.62,177.03,186.94,189.96,182.3875,6.175958933639375,,,,331.01,352.03,341.52,10.509999999999991,,,
13,1.097222222222222,173.13,173.23,166.5,163.66,169.13,4.172762873684531,,,,166.68,151.18,160.62,162.91,160.3475,5.718047634464056,,,,179.7,157.28,160.29,159.84,164.2775,8.977890551237518,,,,163.03,171.04,172.17,169.75,168.9975,3.5501364410399736,,,,160.91,157.21,166.42,158.51,160.7625,3.5257295344368034,,,,164.82,154.42,168.45,176.28,165.9925,7.860812219484706,,,,150.69,151.23,158.55,153.83,153.575,3.107969594445873,,,,164.22,161.93,169.68,211.87,176.925,20.37099715281508,,,,175.4,177.13,187.15,189.99,182.4175,6.263830198049756,,,,336.89,352.27,344.58,7.689999999999998,,,
14,1.1805555555555556,173.37,173.34,166.67,163.69,169.26749999999998,4.221115818122033,,,,166.54,151.34,160.92,163.33,160.5325,5.669397564997534,,,,179.79,157.31,160.36,159.97,164.35750000000002,8.986927659105747,,,,163.14,171.15,172.02,169.64,168.98749999999998,3.4817910261817926,,,,161.15,157.34,166.88,158.88,161.0625,3.6218529442814194,,,,164.9,154.44,168.64,176.62,166.15,7.976647165319525,,,,150.54,151.79,158.94,154.02,153.8225,3.206777003472492,,,,164.82,162.6,169.98,212.79,177.54749999999999,20.522657448537213,,,,175.24,177.08,187.52,190.02,182.465,6.399802731334772,,,,327.82,359.83,343.825,16.004999999999995,,,
15,1.2638888888888888,173.32,173.22,166.35,163.71,169.15,4.224553230816245,,,,166.72,150.96,160.53,162.94,160.28750000000002,5.819662253945667,,,,180.04,157.24,160.47,159.95,164.425,9.098352872910565,,,,163.04,170.98,172.03,169.3,168.83749999999998,3.4859458902857368,,,,161.15,157.56,166.68,159.19,161.145,3.4391314310447654,,,,164.96,154.49,168.61,176.37,166.10750000000002,7.871856118476759,,,,151.14,151.66,159.26,154.04,154.02499999999998,3.214105629875907,,,,164.76,162.48,170.17,211.8,177.3025,20.112004344420782,,,,175.29,177.15,187.33,190.12,182.4725,6.363899649585941,,,,340.99,367.55,354.27,13.280000000000001,,,
16,1.347222222222222,173.49,173.11,166.77,163.55,169.23000000000002,4.228356654777361,,,,166.62,151.17,160.52,163.06,160.34249999999997,5.721845746784867,,,,180.17,157.63,160.27,160.12,164.54749999999999,9.080391993190597,,,,163.13,171.05,171.8,169.48,168.865,3.415292813215294,,,,161.45,158.05,167.24,158.9,161.41,3.590967836113267,,,,165.03,154.91,168.63,176.47,166.26,7.749135435646999,,,,151.12,152.08,159.26,153.99,154.1125,3.146342122211117,,,,164.77,162.54,170.05,212.58,177.485,20.44481902585592,,,,175.4,177.17,187.7,190.14,182.6025,6.406763516004,,,,338.56,352.41,345.485,6.925000000000011,,,
17,1.4305555555555556,173.78,173.27,166.63,163.57,169.3125,4.352943687896738,,,,166.41,151.07,160.37,162.9,160.1875,5.684172653078021,,,,180.07,157.68,160.33,160.57,164.66250000000002,8.967517424014291,,,,162.61,170.84,171.72,169.23,168.60000000000002,3.5717292730552748,,,,161.67,158.06,167.33,159.26,161.58,3.565227902953757,,,,165.06,154.71,168.68,176.51,166.24,7.838363987465746,,,,151.15,152.05,159.14,154.39,154.1825,3.096912777267055,,,,165.04,162.56,170.4,213.18,177.79500000000002,20.625103030045697,,,,175.63,177.25,187.5,190.09,182.6175,6.271209512526274,,,,338.99,389.52,364.255,25.264999999999986,,,
18,1.5138888888888888,173.41,173.26,166.5,163.49,169.165,4.303977811281088,,,,166.26,150.92,160.29,163.29,160.18999999999997,5.753212146270987,,,,180.32,157.3,160.3,160.33,164.5625,9.180491204178557,,,,162.8,170.56,171.7,169.41,168.6175,3.4549412078934068,,,,161.75,158.22,167.56,159.33,161.715,3.607925304104839,,,,165.1,154.73,168.96,176.88,166.4175,7.972792406051976,,,,151.22,152.17,159.48,154.4,154.3175,3.1962663765712627,,,,165.34,162.95,170.28,212.09,177.665,20.050284910693914,,,,175.65,177.31,187.26,190.08,182.57500000000002,6.203831477401687,,,,357.46,381.07,369.265,11.805000000000007,,,
19,1.6,173.34,173.42,166.44,163.28,169.12,4.404157127078912,,,,166.26,150.82,160.38,163.13,160.14749999999998,5.7730900521297945,,,,180.16,157.69,160.41,160.21,164.6175,9.037265557125117,,,,162.66,170.34,171.73,169.42,168.5375,3.4915925807573815,,,,162.05,158.2,167.6,159.49,161.835,3.6053328556459245,,,,165.43,154.92,168.91,176.8,166.515,7.860319649988805,,,,151.34,152.12,159.29,154.59,154.335,3.102148449059131,,,,165.1,162.65,170.73,212.02,177.625,20.07288780918182,,,,175.59,177.56,187.66,189.89,182.67499999999998,6.190050484446789,,,,359.56,387.31,373.435,13.875,,,
