,WT,A3B3C3,C3,A3,A3B3,A3C3,B3C3
WT,False,True,True,True,False,True,True
A3B3C3,True,False,False,True,True,False,False
C3,True,False,False,True,True,False,False
A3,True,True,True,False,False,True,True
A3B3,False,True,True,False,False,True,True
A3C3,True,False,False,True,True,False,False
B3C3,True,False,False,True,True,False,False
