,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_rep5,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiA3_rep1,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiC3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_rep5,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed,6803_Wilde_WT_rep1,6803_Wilde_WT_rep2,6803_Wilde_WT_rep3,6803_Wilde_WT_rep4,6803_Wilde_mean,6803_Wilde_sd,6803_Wilde_reg,6803_Wilde_signal,6803_Wilde_smoothed
10,0.8472222222222222,179.37,210.68,173.45,165.91,167.0,179.28199999999998,16.428708287628705,,,,163.75,154.52,155.09,154.96,167.95,159.254,5.550180537604152,,,,168.92,167.43,162.98,194.13,156.84,170.06,12.747362080054051,,,,162.41,160.97,164.16,173.71,171.35,166.52,5.065356848238831,,,,174.34,166.42,167.44,172.27,182.46,172.586,5.747575488847456,,,,169.24,163.25,172.13,162.46,172.5,167.916,4.290998019109305,,,,183.11,177.25,178.85,178.83,188.18,181.244,3.9774544623414636,,,,166.95,169.64,167.13,172.16,198.11,174.798,11.810187805450013,,,,220.2,229.18,234.16,439.34,280.71999999999997,91.71583832686696,,,
11,0.9305555555555556,179.8,210.7,172.87,166.22,167.08,179.334,16.419280861231403,,,,164.12,154.59,155.21,154.79,168.41,159.424,5.751520146882908,,,,169.05,167.8,162.97,194.3,156.87,170.19800000000004,12.789482241279359,,,,162.51,160.96,163.91,173.91,171.26,166.51,5.116346352623127,,,,174.9,166.18,167.77,172.2,182.42,172.694,5.768596363067876,,,,169.31,163.53,171.97,162.31,172.6,167.94400000000002,4.265637584230519,,,,183.06,176.82,178.62,178.46,188.41,181.074,4.212189929241082,,,,167.0,169.8,167.54,172.41,198.2,174.99,11.761285644010178,,,,220.33,228.06,233.64,441.29,280.83,92.76210244491013,,,
12,1.0138888888888888,179.67,210.64,173.09,166.64,167.26,179.45999999999998,16.28499800429831,,,,164.21,155.02,155.2,155.04,168.48,159.59,5.678661814195313,,,,169.2,168.03,163.15,194.42,157.44,170.448,12.684871934710253,,,,162.85,161.3,164.54,174.16,171.18,166.80599999999998,4.9862595199207185,,,,174.56,166.33,167.88,172.32,182.75,172.76799999999997,5.803321118118485,,,,169.56,163.75,172.35,162.62,172.89,168.23399999999998,4.289552890453731,,,,182.69,176.66,178.79,178.58,188.46,181.036,4.197078031202187,,,,166.98,169.91,167.55,172.43,198.17,175.00799999999998,11.74039590473847,,,,218.44,228.23,231.02,441.43,279.78,93.44551647885521,,,
13,1.097222222222222,180.25,211.36,173.57,166.45,167.15,179.75600000000003,16.57277478275742,,,,164.36,155.15,155.12,155.01,168.45,159.618,5.690685020276555,,,,169.27,167.75,163.13,194.19,157.49,170.36599999999999,12.599831109979212,,,,163.0,161.46,164.48,174.12,171.59,166.93,4.9955980622944445,,,,174.47,166.42,167.5,172.78,182.69,172.772,5.820513379419381,,,,170.29,163.8,172.19,162.49,173.03,168.35999999999999,4.369283694153991,,,,182.76,176.52,178.84,178.67,187.85,180.928,4.003975024897129,,,,167.14,169.99,167.45,172.53,198.5,175.122,11.85038969823356,,,,226.18,228.18,232.03,439.57,281.49,91.29174415027899,,,
14,1.1805555555555556,179.93,211.64,173.96,166.7,167.31,179.908,16.585896900680407,,,,164.35,154.97,155.53,155.01,168.21,159.614,5.581460740702208,,,,169.19,167.98,163.08,194.6,157.39,170.448,12.773343180232809,,,,163.19,161.4,164.79,174.11,171.67,167.03199999999998,4.962178553820894,,,,174.67,166.39,167.72,172.4,182.73,172.78199999999998,5.816436709876588,,,,169.71,163.82,172.56,162.85,172.95,168.378,4.277865823047751,,,,182.54,176.36,178.61,178.57,187.9,180.796,4.072348708055338,,,,167.5,170.02,167.76,172.73,199.27,175.456,12.054991663207408,,,,230.07,228.94,229.8,443.09,282.97499999999997,92.44338010371537,,,
15,1.2638888888888888,179.84,211.29,173.61,166.49,167.12,179.67000000000002,16.539599753319298,,,,164.6,154.85,155.2,155.11,168.61,159.674,5.800608933551722,,,,169.5,168.0,163.14,194.77,157.31,170.544,12.84070808016443,,,,163.29,161.52,164.96,174.36,171.84,167.19400000000002,5.007257133401482,,,,174.66,166.26,167.84,172.64,182.93,172.86599999999999,5.889881492865543,,,,169.8,164.03,172.52,162.96,173.2,168.502,4.257061897600266,,,,182.49,176.41,178.82,178.59,187.66,180.794,3.949484016931833,,,,167.09,170.3,167.73,172.63,198.64,175.278,11.845599013979829,,,,226.58,229.66,231.0,443.63,282.7175,92.91669612480848,,,
16,1.347222222222222,180.04,211.46,174.43,166.84,167.3,180.01400000000004,16.463491245783803,,,,164.36,155.13,155.31,154.91,168.87,159.716,5.812130762465694,,,,169.38,167.82,163.14,194.81,157.49,170.528,12.82839569081029,,,,163.34,161.8,165.16,174.47,172.05,167.36399999999998,4.989230802438388,,,,174.83,166.15,167.64,172.55,182.69,172.77200000000002,5.8794503144426695,,,,170.17,164.22,172.62,163.26,173.56,168.766,4.261199831033512,,,,182.44,176.31,178.29,178.41,187.59,180.608,4.019494495580261,,,,167.58,170.45,168.04,172.9,199.13,175.61999999999998,11.907521992421428,,,,226.49,228.61,231.18,446.46,283.185,94.28149248394405,,,
17,1.4305555555555556,180.18,211.97,173.98,166.48,167.41,180.004,16.73112142087314,,,,164.42,154.66,155.34,155.26,168.43,159.62199999999999,5.702379854060935,,,,169.39,167.84,162.81,194.62,157.21,170.37400000000002,12.851170530344696,,,,163.41,161.96,165.03,174.36,172.12,167.376,4.936551833010572,,,,174.75,166.24,167.99,172.37,182.93,172.856,5.878066348723871,,,,170.09,164.4,172.85,163.4,173.7,168.888,4.255769730612777,,,,182.43,176.24,178.26,178.5,187.95,180.67600000000002,4.153016253279051,,,,167.67,170.72,168.09,173.24,198.91,175.726,11.763891532991963,,,,225.12,228.66,233.44,445.16,283.095,93.6148400361823,,,
18,1.5138888888888888,179.75,211.58,173.95,166.69,167.39,179.872,16.553233400154795,,,,164.61,154.75,155.21,155.1,168.41,159.616,5.757769012386657,,,,169.34,167.98,163.25,194.82,157.27,170.53199999999998,12.85883882782578,,,,163.65,162.12,165.36,174.84,172.07,167.608,4.960820093492603,,,,174.63,166.57,167.86,172.12,182.96,172.82800000000003,5.835228872974907,,,,170.01,164.5,173.02,163.29,174.04,168.97199999999998,4.3688048709000515,,,,182.56,176.26,178.12,178.29,187.87,180.62,4.17168071644991,,,,167.73,170.5,168.29,172.98,199.62,175.824,12.041236813550347,,,,224.84,229.09,236.56,444.44,283.7325,92.87932314971938,,,
19,1.5975,180.01,210.97,175.04,166.67,167.55,180.048,16.22604375687432,,,,164.48,154.76,154.79,154.75,168.34,159.424,5.833203579509293,,,,169.06,167.58,163.55,194.74,157.48,170.48200000000003,12.77496677099397,,,,163.52,162.18,165.33,174.78,172.22,167.60600000000002,4.981411848060744,,,,174.66,166.35,167.83,172.43,182.76,172.80599999999998,5.815519237351034,,,,170.91,164.45,173.04,163.57,173.87,169.168,4.329731631406274,,,,182.2,176.17,178.2,178.62,187.82,180.602,4.098626111271923,,,,167.88,170.67,168.55,173.25,199.56,175.98199999999997,11.937171189188836,,,,224.24,229.72,232.91,445.8,283.1675,93.94710197100282,,,
