,WT,A3B3C3,C3,A3,A3B3,A3C3,B3C3
WT,,5.579981669923666e-07,4.672075747885158e-18,0.02244091920470848,,1.7556623719190047e-14,1.3022941628387724e-09
A3B3C3,5.579981669923666e-07,,,3.931428268690211e-05,5.1678907221083206e-05,,
C3,4.672075747885158e-18,,,1.2876121225905158e-12,5.384594657830558e-09,,
A3,0.02244091920470848,3.931428268690211e-05,1.2876121225905158e-12,,,6.348459345502746e-11,1.7380230793049434e-07
A3B3,,5.1678907221083206e-05,5.384594657830558e-09,,,4.617211221719846e-10,2.3886943090567983e-07
A3C3,1.7556623719190047e-14,,,6.348459345502746e-11,4.617211221719846e-10,,
B3C3,1.3022941628387724e-09,,,1.7380230793049434e-07,2.3886943090567983e-07,,
